episode,step,ego_pos_x,ego_pos_y,other_pos_x,other_pos_y,ego_action,other_action,reward,current_model_id,current_model_name,true_model_id,true_model_name,log_lik_per_step,distance
0,0,4.293835639953613,9.350774765014648,3.5642786026000977,0.011139565147459507,2,4,0.0,0,evasive,0,evasive,0.0,9.36808620462847
0,1,4.293835639953613,8.350774765014648,4.564278602600098,0.011139565147459507,2,2,0.0,0,evasive,0,evasive,0.0,8.344019095310657
0,2,4.293835639953613,7.350774765014648,4.564278602600098,0.0,2,2,0.0,0,evasive,0,evasive,0.0,7.355748027360723
0,3,4.293835639953613,6.350774765014648,4.564278602600098,0.0,2,2,0.0,0,evasive,0,evasive,0.0,6.356530461815775
0,4,4.293835639953613,5.350774765014648,4.564278602600098,0.0,2,3,0.0,0,evasive,0,evasive,0.0,5.3576048736317405
0,5,4.293835639953613,4.350774765014648,3.5642786026000977,0.0,2,2,0.0,0,evasive,0,evasive,0.0,4.411518392417775
0,6,4.293835639953613,3.3507747650146484,3.5642786026000977,0.0,2,2,0.0,0,evasive,0,evasive,0.0,3.429277620230099
0,7,4.293835639953613,2.3507747650146484,3.5642786026000977,0.0,2,0,0.0,0,evasive,0,evasive,0.0,2.461380804869843
0,8,4.293835639953613,1.3507747650146484,3.5642786026000977,0.0,2,1,1.0,0,evasive,0,evasive,0.0,1.5352022461397123
1,0,3.023620128631592,1.5245540142059326,11.0774564743042,4.897751808166504,4,4,0.0,0,evasive,0,evasive,0.0,8.73170906753412
1,1,4.023620128631592,1.5245540142059326,12.0774564743042,4.897751808166504,4,1,0.0,0,evasive,0,evasive,0.0,8.73170906753412
1,2,5.023620128631592,1.5245540142059326,12.0774564743042,5.897751808166504,4,1,0.0,0,evasive,0,evasive,0.0,8.299485895923523
1,3,6.023620128631592,1.5245540142059326,12.0774564743042,6.897751808166504,4,4,0.0,0,evasive,0,evasive,0.0,8.094454214658912
1,4,7.023620128631592,1.5245540142059326,13.0774564743042,6.897751808166504,4,4,0.0,0,evasive,0,evasive,0.0,8.094454214658912
1,5,8.023619651794434,1.5245540142059326,14.0774564743042,6.897751808166504,1,1,0.0,0,evasive,0,evasive,0.0,8.094454571285077
