episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
0,him_her,0,evasive,territorial,29,0,0,-4.039340019226074,0.0
1,him_her,0,evasive,territorial,19,0,0,-2.4531540870666504,1.0
2,him_her,0,evasive,evasive,31,1,0,-2.31217360496521,1.0
3,him_her,0,evasive,territorial,16,0,0,-5.740306854248047,0.0
4,him_her,0,evasive,evasive,32,1,0,-2.3128843307495117,1.0
5,him_her,0,evasive,territorial,33,0,0,-5.354649066925049,1.0
6,him_her,0,evasive,territorial,22,0,0,-4.127549171447754,0.0
7,him_her,0,evasive,territorial,26,0,0,-5.118408203125,0.0
8,him_her,0,evasive,territorial,17,0,0,-3.1748993396759033,0.0
9,him_her,0,evasive,territorial,27,0,0,-2.989386796951294,0.0
10,him_her,0,evasive,territorial,32,0,0,-3.5274834632873535,0.0
11,him_her,0,evasive,evasive,19,1,0,-5.4108123779296875,1.0
12,him_her,0,evasive,territorial,23,0,0,-3.8560476303100586,0.0
13,him_her,0,evasive,territorial,32,0,0,-2.2978925704956055,1.0
14,him_her,0,evasive,territorial,32,0,0,-3.351675033569336,0.0
15,him_her,0,evasive,territorial,27,0,0,-5.704073905944824,0.0
16,him_her,0,evasive,evasive,24,1,0,-9.44584846496582,1.0
17,him_her,0,evasive,territorial,22,0,0,-2.1641714572906494,0.0
18,him_her,0,evasive,territorial,17,0,0,-3.0088319778442383,0.0
19,him_her,0,evasive,territorial,21,0,0,-4.69325590133667,0.0
20,him_her,1,territorial,territorial,23,1,1,-8.015192031860352,0.0
21,him_her,1,territorial,territorial,31,1,0,-1.7497599124908447,1.0
22,him_her,1,territorial,territorial,22,1,0,-1.3393315076828003,1.0
23,him_her,0,evasive,evasive,29,1,1,-5.406337261199951,1.0
24,him_her,1,territorial,territorial,18,1,1,-6.0071258544921875,0.0
25,him_her,1,territorial,evasive,25,0,0,-1.7758477926254272,1.0
26,him_her,1,territorial,territorial,27,1,0,-1.4739834070205688,0.0
27,him_her,1,territorial,territorial,18,1,0,-1.3711097240447998,0.0
28,him_her,0,evasive,territorial,28,0,1,-6.558776378631592,1.0
29,him_her,1,territorial,territorial,33,1,1,-2.858152151107788,0.0
30,him_her,1,territorial,territorial,26,1,0,-1.4296529293060303,0.0
31,him_her,1,territorial,evasive,22,0,0,-1.5726884603500366,1.0
32,him_her,1,territorial,territorial,18,1,0,-1.3770920038223267,0.0
33,him_her,0,evasive,territorial,20,0,1,-6.418910980224609,1.0
34,him_her,1,territorial,evasive,31,0,1,-6.5488996505737305,1.0
35,him_her,1,territorial,territorial,28,1,1,-3.913881540298462,1.0
36,him_her,1,territorial,territorial,21,1,0,-1.5380849838256836,0.0
37,him_her,0,evasive,evasive,16,1,1,-2.527156352996826,1.0
38,him_her,1,territorial,evasive,31,0,1,-2.363877773284912,1.0
39,him_her,1,territorial,territorial,21,1,0,-1.806885838508606,1.0
40,him_her,1,territorial,evasive,18,0,0,-1.619174838066101,1.0
41,him_her,0,evasive,evasive,31,1,1,-3.43913197517395,1.0
42,him_her,1,territorial,territorial,31,1,1,-3.1449368000030518,1.0
43,him_her,1,territorial,evasive,28,0,0,-1.6195285320281982,1.0
44,him_her,1,territorial,territorial,20,1,0,-1.6736266613006592,1.0
45,him_her,1,territorial,territorial,16,1,0,-1.5325770378112793,0.0
46,him_her,1,territorial,territorial,31,1,1,-2.1578214168548584,0.0
47,him_her,1,territorial,territorial,27,1,0,-1.480359673500061,0.0
48,him_her,1,territorial,evasive,32,0,0,-1.7222241163253784,1.0
49,him_her,1,territorial,territorial,21,1,0,-1.8758409023284912,1.0
50,him_her,0,evasive,territorial,20,0,1,-5.347419261932373,1.0
51,him_her,0,evasive,evasive,17,1,0,-1.2656831741333008,1.0
52,him_her,1,territorial,territorial,29,1,1,-3.122105598449707,1.0
53,him_her,1,territorial,territorial,22,1,0,-1.4544799327850342,0.0
54,him_her,1,territorial,territorial,26,1,0,-1.4350615739822388,0.0
55,him_her,0,evasive,evasive,29,1,1,-2.911613702774048,1.0
56,him_her,1,territorial,territorial,24,1,1,-2.8448870182037354,1.0
57,him_her,1,territorial,territorial,32,1,0,-1.6704877614974976,0.0
58,him_her,1,territorial,territorial,30,1,0,-1.4321727752685547,0.0
59,him_her,1,territorial,territorial,20,1,0,-1.7221063375473022,0.0
60,him_her,1,territorial,evasive,28,0,1,-2.672154188156128,1.0
61,him_her,1,territorial,territorial,30,1,0,-1.7380263805389404,0.0
62,him_her,1,territorial,territorial,26,1,0,-1.3815873861312866,0.0
63,him_her,1,territorial,territorial,28,1,1,-2.022416591644287,1.0
64,him_her,1,territorial,territorial,29,1,0,-1.9141019582748413,0.0
65,him_her,1,territorial,territorial,19,1,0,-1.4442150592803955,0.0
66,him_her,1,territorial,evasive,17,0,1,-2.3766674995422363,1.0
67,him_her,0,evasive,territorial,31,0,1,-5.735142707824707,1.0
68,him_her,0,evasive,territorial,23,0,0,-1.1554425954818726,1.0
69,him_her,1,territorial,evasive,23,0,1,-2.7317922115325928,1.0
70,him_her,1,territorial,territorial,23,1,0,-1.988490343093872,1.0
71,him_her,1,territorial,territorial,17,1,0,-1.5169214010238647,0.0
72,him_her,1,territorial,territorial,22,1,0,-1.2186322212219238,0.0
73,him_her,1,territorial,territorial,18,1,0,-1.4852945804595947,0.0
74,him_her,1,territorial,territorial,17,1,0,-1.5028961896896362,0.0
75,him_her,1,territorial,territorial,17,1,0,-1.5091900825500488,0.0
76,him_her,1,territorial,territorial,32,1,1,-2.0625715255737305,0.0
77,him_her,1,territorial,territorial,25,1,0,-1.3031527996063232,0.0
78,him_her,1,territorial,territorial,17,1,0,-1.9259263277053833,1.0
79,him_her,1,territorial,territorial,31,1,0,-1.7636420726776123,0.0
80,him_her,1,territorial,territorial,31,1,1,-3.815000534057617,1.0
81,him_her,1,territorial,territorial,22,1,0,-1.370606780052185,0.0
82,him_her,1,territorial,territorial,28,1,0,-1.582120656967163,0.0
83,him_her,1,territorial,evasive,23,0,0,-1.7670048475265503,1.0
84,him_her,1,territorial,evasive,30,0,0,-1.5221027135849,1.0
85,him_her,1,territorial,territorial,19,1,0,-1.3735167980194092,0.0
86,him_her,1,territorial,territorial,29,1,0,-1.5119277238845825,0.0
87,him_her,1,territorial,territorial,16,1,0,-1.3680436611175537,1.0
88,him_her,1,territorial,territorial,31,1,1,-2.635282516479492,0.0
89,him_her,1,territorial,territorial,24,1,0,-1.1667448282241821,0.0
90,him_her,1,territorial,territorial,29,1,1,-2.121549129486084,0.0
91,him_her,1,territorial,territorial,20,1,0,-1.4233198165893555,0.0
92,him_her,1,territorial,territorial,27,1,0,-1.561767578125,0.0
93,him_her,1,territorial,territorial,19,1,0,-1.5719623565673828,0.0
94,him_her,1,territorial,territorial,23,1,0,-1.3742212057113647,0.0
95,him_her,1,territorial,territorial,19,1,0,-1.597053050994873,0.0
96,him_her,1,territorial,territorial,26,1,0,-1.49912691116333,0.0
97,him_her,1,territorial,evasive,16,0,0,-1.94999361038208,1.0
98,him_her,1,territorial,territorial,24,1,0,-1.5325558185577393,0.0
99,him_her,1,territorial,territorial,19,1,0,-1.8827461004257202,1.0
100,him_her,1,territorial,territorial,29,1,0,-1.4787070751190186,1.0
101,him_her,1,territorial,territorial,32,1,0,-1.732516884803772,0.0
102,him_her,1,territorial,territorial,22,1,0,-1.3545575141906738,0.0
103,him_her,1,territorial,territorial,32,1,1,-2.2832913398742676,0.0
104,him_her,1,territorial,territorial,16,1,0,-1.4294764995574951,1.0
105,him_her,1,territorial,evasive,17,0,0,-1.228415846824646,1.0
106,him_her,1,territorial,territorial,27,1,0,-1.7161369323730469,0.0
107,him_her,1,territorial,evasive,20,0,0,-1.712721586227417,1.0
108,him_her,0,evasive,territorial,26,0,1,-3.619434118270874,1.0
109,him_her,1,territorial,territorial,32,1,1,-3.182347297668457,0.0
110,him_her,1,territorial,territorial,33,1,1,-2.192631483078003,0.0
111,him_her,1,territorial,territorial,29,1,0,-1.633292555809021,0.0
112,him_her,1,territorial,evasive,20,0,1,-2.543063163757324,1.0
113,him_her,1,territorial,territorial,28,1,0,-1.5711227655410767,1.0
114,him_her,1,territorial,territorial,28,1,0,-1.5222268104553223,0.0
115,him_her,0,evasive,territorial,24,0,1,-3.6087021827697754,1.0
