episode,agent_type,belief_evasive,belief_territorial,map_model_id,map_model_name,prior_model_id,prior_model_name,switched,true_end_policy,switch_point,model_correct,episode_reward,log_lik_per_step
0,bayesian,1.24730649432152e-43,1.0,1,territorial,0,evasive,1,territorial,20,1,0.0,-5.412231922149658
1,bayesian,1.1113023064278372e-32,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-2.1780176162719727
2,bayesian,0.7455901768590959,0.2544098231409042,0,evasive,1,territorial,1,evasive,19,1,1.0,-1.6913471221923828
3,bayesian,0.5913444164701456,0.4086555835298538,0,evasive,0,evasive,0,territorial,22,0,1.0,-3.954491376876831
4,bayesian,0.012375599291424256,0.987624400708576,1,territorial,0,evasive,1,evasive,25,0,1.0,-3.3707568645477295
5,bayesian,1.1332202070026705e-18,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.6210969686508179
6,bayesian,7.438794236156919e-55,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.9096451997756958
7,bayesian,0.2173732930878571,0.7826267069121429,1,territorial,1,territorial,0,evasive,29,0,1.0,-1.630910873413086
8,bayesian,7.108339006914514e-69,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.499895453453064
9,bayesian,2.127877304773385e-34,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.259826898574829
10,bayesian,1.9134083003258563e-33,1.0,1,territorial,1,territorial,0,territorial,33,1,0.0,-1.9133048057556152
11,bayesian,0.003952008408536283,0.9960479915914605,1,territorial,1,territorial,0,territorial,21,1,1.0,-2.92358660697937
12,bayesian,0.9999999921816602,7.818338046019438e-09,0,evasive,1,territorial,1,evasive,28,1,1.0,-3.6036148071289062
13,bayesian,1.3064102537446532e-55,1.0,1,territorial,0,evasive,1,territorial,18,1,0.0,-6.59173059463501
14,bayesian,1.0933250201639082e-06,0.9999989066749791,1,territorial,1,territorial,0,evasive,28,0,1.0,-2.6654212474823
15,bayesian,1.5348416998258318e-14,0.9999999999999858,1,territorial,1,territorial,0,evasive,30,0,1.0,-2.3375489711761475
16,bayesian,4.695446529657837e-29,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.387281060218811
17,bayesian,5.490030184148498e-16,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.6598553657531738
18,bayesian,0.37841287918978495,0.6215871208102155,1,territorial,1,territorial,0,territorial,19,1,1.0,-2.103576183319092
19,bayesian,1.1058920653102462e-27,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.5365968942642212
20,bayesian,0.9999999399111434,6.008885423053018e-08,0,evasive,1,territorial,1,territorial,24,0,1.0,-3.2216687202453613
21,bayesian,6.603059184032138e-34,1.0,1,territorial,0,evasive,1,territorial,18,1,0.0,-4.495418548583984
22,bayesian,9.302235783808739e-08,0.999999906977643,1,territorial,1,territorial,0,territorial,17,1,1.0,-2.2500946521759033
23,bayesian,0.017239739655257453,0.9827602603447435,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.6405935287475586
