episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
0,him_her,0,evasive,evasive,30,1,0,-1.8613183498382568,1.0
1,him_her,0,evasive,territorial,33,0,0,-4.22603178024292,1.0
2,him_her,0,evasive,territorial,25,0,0,-3.3139290809631348,0.0
3,him_her,0,evasive,evasive,32,1,0,-1.2554447650909424,1.0
4,him_her,0,evasive,territorial,17,0,0,-4.99845552444458,0.0
5,him_her,0,evasive,territorial,19,0,0,-4.810095310211182,0.0
6,him_her,0,evasive,territorial,19,0,0,-6.0587382316589355,0.0
7,him_her,0,evasive,evasive,27,1,0,-2.421252489089966,1.0
8,him_her,0,evasive,territorial,22,0,0,-4.313290119171143,0.0
9,him_her,0,evasive,evasive,26,1,0,-18.051681518554688,1.0
10,him_her,0,evasive,territorial,16,0,0,-7.07608699798584,0.0
11,him_her,0,evasive,territorial,30,0,0,-4.809273719787598,0.0
12,him_her,0,evasive,evasive,32,1,0,-5.860642910003662,1.0
13,him_her,0,evasive,territorial,21,0,0,-4.4745073318481445,1.0
14,him_her,0,evasive,evasive,18,1,0,-2.868065595626831,1.0
15,him_her,0,evasive,territorial,23,0,0,-5.050288200378418,0.0
16,him_her,0,evasive,territorial,19,0,0,-5.410899639129639,0.0
17,him_her,0,evasive,territorial,25,0,0,-4.309181213378906,0.0
18,him_her,0,evasive,territorial,25,0,0,-4.607030391693115,1.0
19,him_her,0,evasive,territorial,22,0,0,-2.4116179943084717,0.0
20,him_her,1,territorial,territorial,25,1,1,-3.3247125148773193,1.0
21,him_her,0,evasive,evasive,33,1,1,-5.158621788024902,1.0
22,him_her,1,territorial,evasive,16,0,1,-6.8638105392456055,1.0
23,him_her,1,territorial,territorial,23,1,0,-1.4217056035995483,0.0
24,him_her,1,territorial,territorial,29,1,1,-2.1319665908813477,1.0
25,him_her,1,territorial,territorial,32,1,0,-1.6999475955963135,0.0
26,him_her,1,territorial,evasive,26,0,1,-3.537264585494995,1.0
27,him_her,1,territorial,territorial,32,1,0,-1.9211676120758057,0.0
28,him_her,1,territorial,territorial,24,1,1,-2.345325469970703,1.0
29,him_her,1,territorial,territorial,30,1,0,-1.7946478128433228,0.0
30,him_her,1,territorial,territorial,31,1,1,-2.0090270042419434,0.0
31,him_her,1,territorial,territorial,22,1,0,-1.4974257946014404,0.0
32,him_her,1,territorial,evasive,32,0,0,-1.9614113569259644,1.0
33,him_her,1,territorial,territorial,30,1,0,-1.9739428758621216,0.0
34,him_her,0,evasive,evasive,33,1,1,-3.9605886936187744,1.0
35,him_her,1,territorial,evasive,28,0,1,-5.445355415344238,1.0
36,him_her,1,territorial,territorial,21,1,0,-1.3441940546035767,0.0
37,him_her,1,territorial,territorial,27,1,0,-1.7834550142288208,0.0
38,him_her,1,territorial,territorial,26,1,0,-1.9673887491226196,1.0
39,him_her,0,evasive,territorial,30,0,1,-2.5276219844818115,1.0
40,him_her,1,territorial,territorial,25,1,1,-2.64331316947937,0.0
41,him_her,1,territorial,territorial,16,1,0,-1.4392153024673462,0.0
42,him_her,1,territorial,territorial,31,1,1,-2.6938540935516357,0.0
43,him_her,1,territorial,evasive,31,0,1,-2.1654250621795654,1.0
44,him_her,0,evasive,territorial,25,0,1,-2.7521538734436035,1.0
45,him_her,1,territorial,territorial,16,1,1,-3.5122029781341553,1.0
46,him_her,1,territorial,territorial,19,1,0,-1.5861941576004028,0.0
47,him_her,1,territorial,territorial,20,1,0,-1.485737919807434,0.0
48,him_her,0,evasive,evasive,31,1,1,-2.560023784637451,1.0
49,him_her,0,evasive,evasive,32,1,0,-1.8019648790359497,1.0
50,him_her,1,territorial,territorial,26,1,1,-5.59011697769165,0.0
51,him_her,1,territorial,territorial,24,1,0,-1.4525268077850342,0.0
52,him_her,1,territorial,territorial,17,1,0,-1.4942618608474731,0.0
53,him_her,1,territorial,territorial,16,1,0,-1.4192969799041748,0.0
54,him_her,1,territorial,territorial,16,1,0,-1.531753659248352,0.0
55,him_her,1,territorial,territorial,23,1,0,-1.35499906539917,0.0
56,him_her,1,territorial,evasive,30,0,0,-1.3365075588226318,1.0
57,him_her,1,territorial,evasive,27,0,1,-2.4510273933410645,1.0
58,him_her,1,territorial,evasive,33,0,1,-2.832573413848877,1.0
59,him_her,0,evasive,evasive,28,1,1,-2.612971782684326,1.0
60,him_her,0,evasive,evasive,29,1,1,-2.1417694091796875,1.0
61,him_her,1,territorial,evasive,17,0,1,-5.282740116119385,1.0
62,him_her,1,territorial,evasive,18,0,0,-1.3242377042770386,1.0
63,him_her,1,territorial,evasive,33,0,0,-1.65459406375885,1.0
64,him_her,1,territorial,territorial,22,1,0,-1.3320813179016113,0.0
65,him_her,1,territorial,territorial,16,1,0,-1.5421139001846313,0.0
66,him_her,1,territorial,territorial,17,1,0,-1.4202736616134644,0.0
67,him_her,1,territorial,territorial,20,1,0,-1.5878993272781372,0.0
68,him_her,1,territorial,territorial,24,1,0,-1.4894826412200928,0.0
69,him_her,1,territorial,territorial,33,1,0,-1.9594122171401978,0.0
70,him_her,1,territorial,territorial,27,1,1,-3.7189512252807617,1.0
71,him_her,1,territorial,territorial,17,1,0,-1.4249763488769531,0.0
72,him_her,1,territorial,territorial,26,1,0,-1.4537975788116455,0.0
73,him_her,1,territorial,territorial,18,1,0,-1.4225319623947144,0.0
74,him_her,1,territorial,territorial,16,1,1,-3.3890202045440674,1.0
75,him_her,1,territorial,evasive,30,0,1,-2.01481032371521,1.0
76,him_her,1,territorial,evasive,20,0,1,-2.6576881408691406,1.0
77,him_her,1,territorial,territorial,18,1,0,-1.541033148765564,0.0
78,him_her,1,territorial,evasive,21,0,0,-1.5604519844055176,1.0
79,him_her,1,territorial,territorial,33,1,1,-2.6939046382904053,1.0
80,him_her,1,territorial,territorial,28,1,0,-1.4546711444854736,0.0
81,him_her,0,evasive,evasive,21,1,1,-3.8574419021606445,1.0
82,him_her,1,territorial,territorial,19,1,1,-5.680981636047363,1.0
83,him_her,1,territorial,territorial,21,1,0,-1.3431416749954224,1.0
84,him_her,1,territorial,evasive,17,0,0,-1.8489288091659546,1.0
85,him_her,1,territorial,territorial,24,1,0,-1.2786922454833984,0.0
86,him_her,0,evasive,territorial,30,0,1,-2.573726177215576,1.0
87,him_her,1,territorial,evasive,30,0,1,-3.998384475708008,1.0
88,him_her,1,territorial,territorial,28,1,0,-1.6931700706481934,0.0
89,him_her,1,territorial,territorial,29,1,0,-1.5590547323226929,0.0
90,him_her,1,territorial,territorial,22,1,0,-1.5945903062820435,0.0
91,him_her,1,territorial,territorial,16,1,0,-1.5326029062271118,1.0
92,him_her,1,territorial,territorial,28,1,0,-1.6883149147033691,0.0
93,him_her,1,territorial,territorial,19,1,1,-2.3936517238616943,1.0
94,him_her,1,territorial,territorial,24,1,1,-2.388638973236084,1.0
