episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
0,him_her,0,evasive,territorial,25,0,0,-3.5379116535186768,0.0
1,him_her,0,evasive,territorial,23,0,0,-4.984923362731934,0.0
2,him_her,0,evasive,territorial,22,0,0,-5.467108249664307,0.0
3,him_her,0,evasive,territorial,18,0,0,-4.439857006072998,0.0
4,him_her,0,evasive,territorial,30,0,0,-1.5981234312057495,0.0
5,him_her,0,evasive,evasive,27,1,0,-1.718188762664795,1.0
6,him_her,0,evasive,territorial,31,0,0,-5.431173324584961,1.0
7,him_her,0,evasive,territorial,21,0,0,-4.066271781921387,0.0
8,him_her,0,evasive,evasive,22,1,0,-4.838897228240967,1.0
9,him_her,0,evasive,territorial,17,0,0,-3.8369479179382324,0.0
10,him_her,0,evasive,territorial,21,0,0,-5.2025299072265625,0.0
11,him_her,0,evasive,territorial,19,0,0,-3.796790599822998,1.0
12,him_her,0,evasive,territorial,27,0,0,-4.241437911987305,0.0
13,him_her,0,evasive,evasive,33,1,0,-3.9815316200256348,1.0
14,him_her,0,evasive,evasive,22,1,0,-4.536680698394775,1.0
15,him_her,0,evasive,territorial,29,0,0,-3.65925669670105,0.0
16,him_her,0,evasive,territorial,17,0,0,-7.106805324554443,0.0
17,him_her,0,evasive,territorial,32,0,0,-5.585578441619873,1.0
18,him_her,0,evasive,territorial,16,0,0,-7.512538433074951,0.0
19,him_her,0,evasive,evasive,26,1,0,-18.151641845703125,1.0
20,him_her,0,evasive,territorial,22,0,0,-1.56886625289917,1.0
21,him_her,1,territorial,territorial,29,1,1,-4.9534592628479,0.0
22,him_her,1,territorial,territorial,29,1,0,-1.4861472845077515,0.0
23,him_her,1,territorial,territorial,20,1,0,-1.428251028060913,0.0
24,him_her,1,territorial,territorial,16,1,0,-1.5542594194412231,0.0
25,him_her,1,territorial,territorial,17,1,0,-1.5089410543441772,0.0
26,him_her,1,territorial,territorial,27,1,0,-1.8459144830703735,1.0
27,him_her,1,territorial,territorial,19,1,0,-1.5083914995193481,0.0
28,him_her,1,territorial,territorial,22,1,0,-1.8308930397033691,1.0
29,him_her,1,territorial,territorial,21,1,0,-1.5275942087173462,0.0
30,him_her,1,territorial,territorial,33,1,1,-2.926975965499878,0.0
31,him_her,1,territorial,territorial,25,1,0,-1.3453826904296875,0.0
32,him_her,1,territorial,territorial,18,1,1,-2.3186886310577393,1.0
33,him_her,0,evasive,territorial,25,0,1,-6.1960344314575195,1.0
34,him_her,1,territorial,territorial,31,1,1,-5.725804805755615,0.0
35,him_her,1,territorial,territorial,31,1,0,-1.4983341693878174,0.0
36,him_her,1,territorial,territorial,27,1,0,-1.5295618772506714,0.0
37,him_her,1,territorial,territorial,31,1,0,-1.9713420867919922,0.0
38,him_her,1,territorial,territorial,22,1,1,-2.722853422164917,1.0
39,him_her,1,territorial,territorial,30,1,1,-2.260802984237671,0.0
40,him_her,0,evasive,evasive,20,1,1,-2.802790403366089,1.0
41,him_her,1,territorial,territorial,18,1,1,-6.625277996063232,1.0
42,him_her,0,evasive,territorial,32,0,1,-4.984986305236816,1.0
43,him_her,1,territorial,evasive,19,0,1,-2.432821750640869,1.0
44,him_her,1,territorial,territorial,26,1,0,-1.360314130783081,0.0
45,him_her,1,territorial,territorial,27,1,0,-1.4896645545959473,0.0
46,him_her,1,territorial,evasive,27,0,0,-0.790480375289917,1.0
47,him_her,1,territorial,territorial,31,1,1,-2.079756021499634,0.0
48,him_her,1,territorial,territorial,24,1,0,-1.462493896484375,0.0
49,him_her,0,evasive,territorial,19,0,1,-4.473695278167725,1.0
50,him_her,1,territorial,territorial,20,1,1,-3.613506317138672,0.0
51,him_her,1,territorial,territorial,33,1,0,-1.6442184448242188,0.0
52,him_her,1,territorial,territorial,26,1,0,-1.3829728364944458,0.0
53,him_her,0,evasive,evasive,20,1,1,-3.33389949798584,1.0
54,him_her,1,territorial,territorial,26,1,1,-6.2564005851745605,0.0
55,him_her,1,territorial,evasive,21,0,0,-1.6603096723556519,1.0
56,him_her,1,territorial,territorial,16,1,0,-1.479561686515808,0.0
