episode,agent_type,belief_evasive,belief_territorial,map_model_id,map_model_name,prior_model_id,prior_model_name,switched,true_end_policy,switch_point,model_correct,episode_reward,log_lik_per_step
0,bayesian,3.2296021366871427e-31,1.0,1,territorial,0,evasive,1,territorial,29,1,0.0,-4.438473224639893
0,bayesian,3.2296021366871427e-31,1.0,1,territorial,0,evasive,1,territorial,29,1,0.0,-4.438473224639893
1,bayesian,0.0010256124345304346,0.9989743875654664,1,territorial,1,territorial,0,territorial,22,1,1.0,-2.429871082305908
1,bayesian,0.0010256124345304346,0.9989743875654664,1,territorial,1,territorial,0,territorial,22,1,1.0,-2.429871082305908
2,bayesian,3.0360004906383484e-25,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.33732271194458
2,bayesian,3.0360004906383484e-25,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.33732271194458
3,bayesian,3.474794706739612e-29,1.0,1,territorial,1,territorial,0,territorial,20,1,1.0,-1.2212830781936646
3,bayesian,3.474794706739612e-29,1.0,1,territorial,1,territorial,0,territorial,20,1,1.0,-1.2212830781936646
4,bayesian,8.722503200736068e-50,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.4393310546875
4,bayesian,8.722503200736068e-50,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.4393310546875
5,bayesian,0.6226845983572228,0.377315401642777,0,evasive,1,territorial,1,evasive,25,1,1.0,-1.6693814992904663
5,bayesian,0.6226845983572228,0.377315401642777,0,evasive,1,territorial,1,evasive,25,1,1.0,-1.6693814992904663
6,bayesian,1.1864118808668798e-36,1.0,1,territorial,0,evasive,1,territorial,27,1,0.0,-4.937160015106201
6,bayesian,1.1864118808668798e-36,1.0,1,territorial,0,evasive,1,territorial,27,1,0.0,-4.937160015106201
7,bayesian,7.05067760130791e-10,0.9999999992949355,1,territorial,1,territorial,0,territorial,30,1,0.0,-2.021254062652588
7,bayesian,7.05067760130791e-10,0.9999999992949355,1,territorial,1,territorial,0,territorial,30,1,0.0,-2.021254062652588
8,bayesian,1.0446680023412432e-19,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.3855735063552856
8,bayesian,1.0446680023412432e-19,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.3855735063552856
9,bayesian,0.45841540923913515,0.5415845907608651,1,territorial,1,territorial,0,evasive,19,0,1.0,-1.9488625526428223
9,bayesian,0.45841540923913515,0.5415845907608651,1,territorial,1,territorial,0,evasive,19,0,1.0,-1.9488625526428223
10,bayesian,1.0,3.9849068355808595e-17,0,evasive,1,territorial,1,territorial,23,0,1.0,-4.610427379608154
10,bayesian,1.0,3.9849068355808595e-17,0,evasive,1,territorial,1,territorial,23,0,1.0,-4.610427379608154
