episode,agent_type,belief_evasive,belief_territorial,map_model_id,map_model_name,prior_model_id,prior_model_name,switched,true_end_policy,switch_point,model_correct,episode_reward,log_lik_per_step
0,bayesian,4.069885220184518e-51,1.0,1,territorial,0,evasive,1,territorial,20,1,0.0,-6.108340740203857
1,bayesian,1.2864931844447448e-50,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.5300475358963013
2,bayesian,0.4939732490290325,0.5060267509709676,1,territorial,1,territorial,0,evasive,30,0,1.0,-3.637110710144043
3,bayesian,0.0002191612300239212,0.9997808387699751,1,territorial,1,territorial,0,evasive,19,0,1.0,-3.0893194675445557
4,bayesian,3.102322485182055e-63,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.4123296737670898
5,bayesian,0.9994207193726817,0.000579280627315521,0,evasive,1,territorial,1,territorial,20,0,1.0,-3.0935447216033936
6,bayesian,6.462311933431197e-20,1.0,1,territorial,0,evasive,1,territorial,27,1,0.0,-3.3245577812194824
7,bayesian,2.0224856531858048e-06,0.9999979775143462,1,territorial,1,territorial,0,territorial,22,1,1.0,-2.0059714317321777
8,bayesian,2.1412857635638693e-06,0.9999978587142372,1,territorial,1,territorial,0,evasive,17,0,1.0,-2.724485397338867
9,bayesian,0.9999954403829764,4.55961702309054e-06,0,evasive,1,territorial,1,evasive,19,1,1.0,-2.9308626651763916
10,bayesian,1.0972122777456987e-24,1.0,1,territorial,0,evasive,1,territorial,23,1,0.0,-3.663749933242798
11,bayesian,0.9999998937855977,1.0621440243030272e-07,0,evasive,1,territorial,1,evasive,30,1,1.0,-2.8493337631225586
12,bayesian,8.194739921283245e-38,1.0,1,territorial,0,evasive,1,territorial,31,1,0.0,-5.1385498046875
13,bayesian,0.12283821432563778,0.8771617856743622,1,territorial,1,territorial,0,evasive,23,0,1.0,-1.9147042036056519
14,bayesian,4.753430749406419e-41,1.0,1,territorial,1,territorial,0,territorial,19,1,0.0,-1.4695409536361694
15,bayesian,3.022420468566948e-19,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.841518759727478
16,bayesian,3.441670005665831e-40,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.4727221727371216
17,bayesian,1.1867012673194302e-29,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.2465215921401978
18,bayesian,1.0933975333002995e-24,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.325390338897705
19,bayesian,2.0405880111388833e-52,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.7690609693527222
20,bayesian,7.209396710525908e-57,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.500032663345337
21,bayesian,3.896945175183799e-08,0.9999999610305491,1,territorial,1,territorial,0,evasive,30,0,1.0,-1.647181749343872
22,bayesian,3.7015778612164187e-16,1.0,1,territorial,1,territorial,0,territorial,24,1,1.0,-1.7279881238937378
23,bayesian,4.8420658347882475e-33,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.520734190940857
24,bayesian,2.5701476777584973e-50,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.4318686723709106
25,bayesian,2.711786574906664e-31,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.3959100246429443
26,bayesian,8.349350322974839e-32,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.5316784381866455
27,bayesian,1.8709432379260053e-51,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.370544672012329
28,bayesian,5.294864358436426e-21,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.46837317943573
29,bayesian,0.42729962790745873,0.5727003720925387,1,territorial,1,territorial,0,territorial,31,1,0.0,-2.463794469833374
30,bayesian,2.3317531823340492e-49,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.4796602725982666
31,bayesian,2.1892296966288636e-46,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.31401526927948
32,bayesian,0.0006077702985094948,0.9993922297014897,1,territorial,1,territorial,0,evasive,27,0,1.0,-2.8439865112304688
33,bayesian,2.2495094540583854e-35,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.3361862897872925
34,bayesian,0.9999706779492854,2.9322050712752372e-05,0,evasive,1,territorial,1,territorial,29,0,1.0,-4.454197883605957
35,bayesian,0.9999999998099325,1.900672516164417e-10,0,evasive,0,evasive,0,evasive,21,1,1.0,-1.2882988452911377
36,bayesian,1.7490661652651823e-30,1.0,1,territorial,0,evasive,1,territorial,31,1,0.0,-4.550639629364014
37,bayesian,0.9999999685424776,3.145752175154847e-08,0,evasive,1,territorial,1,evasive,28,1,1.0,-3.4428298473358154
38,bayesian,2.3327739631215785e-21,1.0,1,territorial,0,evasive,1,territorial,18,1,0.0,-3.396712064743042
39,bayesian,2.294328625123493e-23,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.3429001569747925
40,bayesian,2.183127877618036e-66,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.4267898797988892
41,bayesian,4.488198344330665e-19,1.0,1,territorial,1,territorial,0,territorial,29,1,1.0,-2.127925157546997
42,bayesian,1.7530851923335788e-25,1.0,1,territorial,1,territorial,0,territorial,28,1,1.0,-1.8317375183105469
43,bayesian,3.1477649185552526e-33,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.714496374130249
44,bayesian,1.6829143258522355e-26,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.2003949880599976
45,bayesian,5.80425162070978e-60,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.457810640335083
46,bayesian,1.0045022863244432e-33,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.6756513118743896
47,bayesian,6.6681293600145355e-59,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.3595783710479736
48,bayesian,1.7783376240340492e-39,1.0,1,territorial,1,territorial,0,territorial,19,1,0.0,-1.6469563245773315
49,bayesian,1.5222250723209794e-46,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.5758516788482666
50,bayesian,9.401104765457931e-08,0.9999999059889522,1,territorial,1,territorial,0,evasive,18,0,1.0,-1.7665481567382812
51,bayesian,9.403729849348033e-63,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.51771080493927
52,bayesian,2.5296018645445444e-31,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.3453630208969116
53,bayesian,1.990420837657173e-39,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.3468921184539795
54,bayesian,8.655850203434821e-34,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.5497245788574219
55,bayesian,0.10543744711333483,0.894562552886665,1,territorial,1,territorial,0,evasive,21,0,1.0,-1.442147135734558
56,bayesian,2.735081513606264e-29,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.5521340370178223
57,bayesian,1.2800298320523103e-45,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.3883776664733887
