episode,agent_type,belief_evasive,belief_territorial,map_model_id,map_model_name,prior_model_id,prior_model_name,switched,true_end_policy,switch_point,model_correct,episode_reward,log_lik_per_step
0,bayesian,2.8197889310412425e-17,1.0,1,territorial,0,evasive,1,territorial,29,1,1.0,-4.189267158508301
0,bayesian,2.8197889310412425e-17,1.0,1,territorial,0,evasive,1,territorial,29,1,1.0,-4.189267158508301
1,bayesian,0.11158241489776277,0.888417585102239,1,territorial,1,territorial,0,evasive,31,0,1.0,-1.9153341054916382
1,bayesian,0.11158241489776277,0.888417585102239,1,territorial,1,territorial,0,evasive,31,0,1.0,-1.9153341054916382
2,bayesian,5.937181243492055e-23,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.4897069931030273
2,bayesian,5.937181243492055e-23,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.4897069931030273
3,bayesian,2.8295340237452434e-44,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.4599213600158691
3,bayesian,2.8295340237452434e-44,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.4599213600158691
4,bayesian,2.6401718512258707e-23,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.4635984897613525
4,bayesian,2.6401718512258707e-23,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.4635984897613525
5,bayesian,1.8673922063427e-08,0.9999999813260781,1,territorial,1,territorial,0,evasive,33,0,1.0,-2.177976131439209
5,bayesian,1.8673922063427e-08,0.9999999813260781,1,territorial,1,territorial,0,evasive,33,0,1.0,-2.177976131439209
6,bayesian,8.064900327108283e-51,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.4734470844268799
6,bayesian,8.064900327108283e-51,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.4734470844268799
7,bayesian,9.020979365195951e-08,0.9999999097902063,1,territorial,1,territorial,0,evasive,31,0,1.0,-1.7752673625946045
7,bayesian,9.020979365195951e-08,0.9999999097902063,1,territorial,1,territorial,0,evasive,31,0,1.0,-1.7752673625946045
8,bayesian,3.0495891703991796e-46,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.1663562059402466
8,bayesian,3.0495891703991796e-46,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.1663562059402466
9,bayesian,3.885111904792045e-36,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.6238479614257812
9,bayesian,3.885111904792045e-36,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.6238479614257812
10,bayesian,4.475145695322936e-08,0.9999999552485433,1,territorial,1,territorial,0,evasive,18,0,1.0,-1.7022305727005005
10,bayesian,4.475145695322936e-08,0.9999999552485433,1,territorial,1,territorial,0,evasive,18,0,1.0,-1.7022305727005005
11,bayesian,4.961012223409439e-27,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.5539551973342896
11,bayesian,4.961012223409439e-27,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.5539551973342896
12,bayesian,1.5078249447450772e-21,1.0,1,territorial,1,territorial,0,territorial,17,1,1.0,-2.0054802894592285
12,bayesian,1.5078249447450772e-21,1.0,1,territorial,1,territorial,0,territorial,17,1,1.0,-2.0054802894592285
13,bayesian,4.956999260170033e-43,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.3394651412963867
13,bayesian,4.956999260170033e-43,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.3394651412963867
14,bayesian,2.4560521368518732e-46,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.313904881477356
