episode,agent_type,episode_reward,reward_100ep_mean
0,vanilla,0.0,0.0
1,vanilla,1.0,0.5
2,vanilla,0.0,0.3333333333333333
3,vanilla,1.0,0.5
4,vanilla,0.0,0.4
5,vanilla,0.0,0.3333333333333333
6,vanilla,1.0,0.42857142857142855
7,vanilla,1.0,0.5
8,vanilla,1.0,0.5555555555555556
9,vanilla,0.0,0.5
10,vanilla,0.0,0.45454545454545453
11,vanilla,1.0,0.5
12,vanilla,0.0,0.46153846153846156
13,vanilla,1.0,0.5
14,vanilla,1.0,0.5333333333333333
15,vanilla,0.0,0.5
16,vanilla,1.0,0.5294117647058824
17,vanilla,0.0,0.5
18,vanilla,0.0,0.47368421052631576
19,vanilla,1.0,0.5
20,vanilla,0.0,0.47619047619047616
21,vanilla,1.0,0.5
22,vanilla,0.0,0.4782608695652174
23,vanilla,0.0,0.4583333333333333
24,vanilla,0.0,0.44
25,vanilla,1.0,0.46153846153846156
26,vanilla,1.0,0.48148148148148145
27,vanilla,0.0,0.4642857142857143
28,vanilla,0.0,0.4482758620689655
29,vanilla,0.0,0.43333333333333335
30,vanilla,0.0,0.41935483870967744
31,vanilla,0.0,0.40625
32,vanilla,1.0,0.42424242424242425
33,vanilla,1.0,0.4411764705882353
34,vanilla,0.0,0.42857142857142855
35,vanilla,1.0,0.4444444444444444
36,vanilla,0.0,0.43243243243243246
37,vanilla,1.0,0.4473684210526316
38,vanilla,0.0,0.4358974358974359
39,vanilla,0.0,0.425
40,vanilla,1.0,0.43902439024390244
41,vanilla,0.0,0.42857142857142855
42,vanilla,0.0,0.4186046511627907
43,vanilla,1.0,0.4318181818181818
44,vanilla,0.0,0.4222222222222222
45,vanilla,0.0,0.41304347826086957
46,vanilla,1.0,0.425531914893617
47,vanilla,1.0,0.4375
48,vanilla,1.0,0.4489795918367347
49,vanilla,0.0,0.44
50,vanilla,1.0,0.45098039215686275
51,vanilla,1.0,0.46153846153846156
52,vanilla,0.0,0.4528301886792453
53,vanilla,1.0,0.46296296296296297
54,vanilla,0.0,0.45454545454545453
55,vanilla,0.0,0.44642857142857145
56,vanilla,1.0,0.45614035087719296
57,vanilla,1.0,0.46551724137931033
58,vanilla,0.0,0.4576271186440678
59,vanilla,1.0,0.4666666666666667
60,vanilla,0.0,0.45901639344262296
61,vanilla,0.0,0.45161290322580644
62,vanilla,0.0,0.4444444444444444
63,vanilla,0.0,0.4375
64,vanilla,1.0,0.4461538461538462
65,vanilla,0.0,0.4393939393939394
66,vanilla,0.0,0.43283582089552236
67,vanilla,0.0,0.4264705882352941
68,vanilla,0.0,0.42028985507246375
69,vanilla,0.0,0.4142857142857143
70,vanilla,0.0,0.4084507042253521
71,vanilla,0.0,0.4027777777777778
72,vanilla,0.0,0.3972602739726027
73,vanilla,0.0,0.3918918918918919
74,vanilla,0.0,0.38666666666666666
