episode,agent_type,belief_evasive,belief_territorial,map_model_id,map_model_name,prior_model_id,prior_model_name,switched,true_end_policy,switch_point,model_correct,episode_reward,log_lik_per_step
0,bayesian,2.5262074547610946e-46,1.0,1,territorial,0,evasive,1,territorial,27,1,0.0,-5.59306001663208
1,bayesian,0.9339541782682562,0.0660458217317438,0,evasive,1,territorial,1,evasive,24,1,1.0,-3.1385016441345215
2,bayesian,2.5594193638998165e-09,0.9999999974405824,1,territorial,0,evasive,1,territorial,22,1,1.0,-4.449997901916504
3,bayesian,2.274854137818151e-50,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.815885066986084
4,bayesian,0.9999999999966818,3.3196939232041483e-12,0,evasive,1,territorial,1,territorial,21,0,1.0,-3.9395060539245605
5,bayesian,0.1994414082208323,0.8005585917791678,1,territorial,0,evasive,1,evasive,28,0,1.0,-2.1551456451416016
6,bayesian,2.2915407067471395e-36,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.5321881771087646
7,bayesian,5.290528887063319e-19,1.0,1,territorial,1,territorial,0,territorial,26,1,1.0,-2.5039355754852295
8,bayesian,1.2191299010268341e-11,0.9999999999878071,1,territorial,1,territorial,0,territorial,17,1,1.0,-2.347158193588257
9,bayesian,2.9430554590037345e-27,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.0440281629562378
10,bayesian,1.0,2.1872196490997983e-22,0,evasive,1,territorial,1,territorial,27,0,1.0,-4.5709733963012695
11,bayesian,7.453200867828389e-46,1.0,1,territorial,0,evasive,1,territorial,23,1,0.0,-5.553656578063965
12,bayesian,4.598767863162402e-05,0.9999540123213682,1,territorial,1,territorial,0,evasive,33,0,1.0,-3.766132354736328
13,bayesian,2.4172884268377202e-34,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.6897828578948975
14,bayesian,9.148195667149438e-33,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.4683403968811035
15,bayesian,0.26427170934370003,0.7357282906562999,1,territorial,1,territorial,0,evasive,27,0,1.0,-1.1740891933441162
16,bayesian,2.585852330166934e-58,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.4005695581436157
17,bayesian,5.754176770207847e-48,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.5044803619384766
18,bayesian,1.760190523730942e-15,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-2.3170814514160156
19,bayesian,1.0,2.2049937790189477e-17,0,evasive,1,territorial,1,territorial,31,0,1.0,-5.126411437988281
20,bayesian,1.0070756169946137e-09,0.9999999989929229,1,territorial,0,evasive,1,territorial,17,1,1.0,-3.6455531120300293
21,bayesian,6.847103883237886e-05,0.9999315289611677,1,territorial,1,territorial,0,territorial,22,1,1.0,-2.501385450363159
22,bayesian,1.0,8.527124286538595e-36,0,evasive,1,territorial,1,territorial,33,0,1.0,-5.853977680206299
23,bayesian,3.559179251607393e-40,1.0,1,territorial,0,evasive,1,territorial,23,1,0.0,-5.05507755279541
24,bayesian,3.510639900393628e-60,1.0,1,territorial,1,territorial,0,territorial,19,1,0.0,-1.5963268280029297
25,bayesian,1.0,3.1324714716753573e-31,0,evasive,1,territorial,1,evasive,21,1,1.0,-7.709031105041504
26,bayesian,1.0411158934469543e-48,1.0,1,territorial,0,evasive,1,territorial,23,1,1.0,-5.8658246994018555
27,bayesian,6.381188587025832e-62,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.4159436225891113
28,bayesian,2.8855111076534417e-11,0.9999999999711449,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.668299674987793
29,bayesian,1.724623201340315e-17,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.5342775583267212
30,bayesian,1.873537236301951e-12,0.9999999999981277,1,territorial,1,territorial,0,territorial,16,1,1.0,-1.568971872329712
31,bayesian,2.7698917183401226e-49,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.5795947313308716
32,bayesian,7.770366856801807e-27,1.0,1,territorial,1,territorial,0,territorial,26,1,1.0,-1.568268895149231
33,bayesian,1.840753142802096e-55,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.332296371459961
34,bayesian,2.3695098010700837e-36,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.599684715270996
35,bayesian,5.422678595567674e-30,1.0,1,territorial,1,territorial,0,territorial,29,1,1.0,-2.3059442043304443
36,bayesian,9.648823932901623e-19,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.3479478359222412
37,bayesian,7.278944422500898e-29,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.4563957452774048
38,bayesian,6.125583738572993e-21,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.355186939239502
39,bayesian,6.011531544251266e-35,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.350454330444336
40,bayesian,7.437112690510068e-12,0.9999999999925606,1,territorial,1,territorial,0,territorial,32,1,0.0,-1.835297703742981
41,bayesian,0.439283947573041,0.5607160524269591,1,territorial,1,territorial,0,evasive,24,0,1.0,-2.4082136154174805
42,bayesian,0.4002478716905131,0.5997521283094871,1,territorial,1,territorial,0,evasive,22,0,1.0,-1.8857976198196411
43,bayesian,0.021775177825793055,0.9782248221742065,1,territorial,1,territorial,0,evasive,26,0,1.0,-1.684483528137207
44,bayesian,2.4982701150706983e-70,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.574941635131836
45,bayesian,2.998157813634586e-48,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.3305370807647705
46,bayesian,1.3807609470679606e-13,0.9999999999998614,1,territorial,1,territorial,0,evasive,20,0,1.0,-2.4658617973327637
47,bayesian,7.725872294218335e-15,0.9999999999999929,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.6544960737228394
48,bayesian,1.2937377998877286e-27,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.1499236822128296
49,bayesian,8.544387169527101e-61,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.5870333909988403
50,bayesian,9.947004692473104e-23,1.0,1,territorial,1,territorial,0,territorial,28,1,1.0,-2.2335410118103027
51,bayesian,1.7612826445570794e-48,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.377076268196106
52,bayesian,6.486842516404777e-11,0.9999999999351346,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.4945541620254517
53,bayesian,2.1932458770400157e-35,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.4373633861541748
54,bayesian,2.3374647937683403e-24,1.0,1,territorial,1,territorial,0,territorial,28,1,0.0,-1.3959015607833862
55,bayesian,8.636902406430638e-30,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.4548770189285278
56,bayesian,4.94402420988059e-51,1.0,1,territorial,1,territorial,0,territorial,16,1,1.0,-1.4000946283340454
57,bayesian,0.9999925721769531,7.4278230461632015e-06,0,evasive,1,territorial,1,territorial,22,0,1.0,-3.052429437637329
58,bayesian,4.8823453263027266e-43,1.0,1,territorial,0,evasive,1,territorial,27,1,0.0,-5.239449501037598
59,bayesian,1.0540258571799135e-07,0.9999998945974145,1,territorial,1,territorial,0,evasive,32,0,1.0,-1.8510138988494873
60,bayesian,0.999988710954206,1.128904579078114e-05,0,evasive,1,territorial,1,evasive,27,1,1.0,-3.628669261932373
61,bayesian,2.548796835031973e-10,0.9999999997451194,1,territorial,0,evasive,1,evasive,16,0,1.0,-5.0114288330078125
62,bayesian,1.5214425114515968e-52,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.5300283432006836
63,bayesian,2.9723017120508843e-52,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.3198940753936768
64,bayesian,9.58907257307868e-52,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.5944548845291138
65,bayesian,4.051901169310976e-13,0.999999999999595,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.4700666666030884
66,bayesian,2.396261965082943e-28,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.378212809562683
67,bayesian,1.0697367146048595e-54,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.742247462272644
68,bayesian,8.981128759382454e-45,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.5462286472320557
69,bayesian,2.1680334026293314e-27,1.0,1,territorial,1,territorial,0,territorial,33,1,0.0,-1.780213713645935
70,bayesian,4.886669412216443e-35,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.5014339685440063
71,bayesian,5.784046652101863e-31,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.7149003744125366
72,bayesian,1.9584846121862573e-18,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.8440184593200684
73,bayesian,2.165826320271215e-57,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.5122753381729126
74,bayesian,2.375023351898435e-19,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.733530879020691
75,bayesian,2.8425177482292977e-28,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.4536832571029663
76,bayesian,4.407027036158222e-37,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.3381195068359375
77,bayesian,1.026178042608294e-29,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.6334223747253418
78,bayesian,0.998101923982229,0.0018980760177702335,0,evasive,1,territorial,1,territorial,33,0,0.0,-2.214829444885254
79,bayesian,3.879433877120415e-24,1.0,1,territorial,0,evasive,1,territorial,30,1,0.0,-3.7116072177886963
80,bayesian,4.181635579196262e-37,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.5587563514709473
81,bayesian,2.3478328904923603e-45,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.4337589740753174
82,bayesian,5.476158447099189e-40,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.4502105712890625
83,bayesian,4.992411455713345e-35,1.0,1,territorial,1,territorial,0,territorial,28,1,0.0,-1.67947256565094
84,bayesian,8.589464025543125e-06,0.9999914105359746,1,territorial,1,territorial,0,evasive,16,0,1.0,-2.7642571926116943
85,bayesian,1.1267644105133435e-38,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.397499680519104
86,bayesian,1.1958027847396853e-15,1.0,1,territorial,1,territorial,0,territorial,32,1,0.0,-1.7648062705993652
87,bayesian,4.061455409230736e-40,1.0,1,territorial,1,territorial,0,territorial,19,1,0.0,-1.4395548105239868
88,bayesian,1.5930131424095863e-42,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.7851295471191406
89,bayesian,8.137867020241121e-43,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.529029369354248
90,bayesian,7.864027088755971e-58,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.6135591268539429
91,bayesian,5.149895779039525e-06,0.9999948501042175,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.9266338348388672
92,bayesian,0.560986525074621,0.43901347492537873,0,evasive,1,territorial,1,evasive,25,1,1.0,-2.026484251022339
93,bayesian,7.085689790579358e-66,1.0,1,territorial,0,evasive,1,territorial,26,1,0.0,-7.440778732299805
94,bayesian,9.235121853653298e-32,1.0,1,territorial,1,territorial,0,territorial,28,1,0.0,-1.58657705783844
95,bayesian,2.6259230733448885e-20,1.0,1,territorial,1,territorial,0,evasive,31,0,1.0,-2.513449192047119
96,bayesian,4.518419099536896e-25,1.0,1,territorial,1,territorial,0,territorial,32,1,0.0,-1.9283711910247803
97,bayesian,2.744796321839653e-33,1.0,1,territorial,1,territorial,0,territorial,28,1,0.0,-1.4794213771820068
98,bayesian,2.166527605433767e-43,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.5137354135513306
99,bayesian,4.1334309990074514e-33,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.4938549995422363
100,bayesian,2.0798155235408077e-33,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.510670781135559
101,bayesian,8.27559014677944e-33,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.448855996131897
102,bayesian,1.3010394213053869e-17,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.3366711139678955
103,bayesian,1.7109170555743282e-22,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.6548223495483398
104,bayesian,5.338361999397008e-53,1.0,1,territorial,1,territorial,0,territorial,28,1,0.0,-1.6271941661834717
105,bayesian,5.759939437087405e-60,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.4925425052642822
106,bayesian,1.248996446870366e-36,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.419130802154541
107,bayesian,1.497127340378956e-62,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.6781911849975586
