episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
0,him_her,0,evasive,evasive,29,1,0,-10.646842002868652,1.0
1,him_her,0,evasive,evasive,28,1,0,-2.0490524768829346,1.0
2,him_her,0,evasive,evasive,31,1,0,-4.676905632019043,1.0
3,him_her,0,evasive,evasive,28,1,0,-1.9032539129257202,1.0
4,him_her,0,evasive,territorial,28,0,0,-4.633444309234619,0.0
5,him_her,0,evasive,evasive,23,1,0,-4.365524768829346,1.0
6,him_her,0,evasive,territorial,19,0,0,-4.516283988952637,0.0
7,him_her,0,evasive,territorial,23,0,0,-3.2291481494903564,0.0
8,him_her,0,evasive,territorial,30,0,0,-2.825579881668091,0.0
9,him_her,0,evasive,territorial,22,0,0,-3.6592369079589844,0.0
10,him_her,0,evasive,territorial,24,0,0,-3.829054594039917,0.0
11,him_her,0,evasive,territorial,33,0,0,-3.07625675201416,0.0
12,him_her,0,evasive,evasive,27,1,0,-2.2313027381896973,1.0
13,him_her,0,evasive,evasive,27,1,0,-3.4572973251342773,1.0
14,him_her,0,evasive,evasive,22,1,0,-1.7317472696304321,1.0
15,him_her,0,evasive,territorial,18,0,0,-5.036337375640869,0.0
16,him_her,0,evasive,territorial,19,0,0,-3.8463258743286133,0.0
17,him_her,0,evasive,evasive,17,1,0,-1.3372960090637207,1.0
18,him_her,0,evasive,territorial,27,0,0,-5.167145252227783,0.0
19,him_her,0,evasive,territorial,16,0,0,-4.187647819519043,0.0
20,him_her,1,territorial,territorial,22,1,1,-5.743729114532471,0.0
21,him_her,1,territorial,territorial,21,1,0,-1.5138049125671387,0.0
22,him_her,0,evasive,territorial,19,0,1,-4.689828872680664,1.0
23,him_her,1,territorial,territorial,18,1,1,-4.918612480163574,0.0
24,him_her,1,territorial,evasive,21,0,1,-2.836139678955078,1.0
25,him_her,1,territorial,territorial,26,1,1,-2.3804728984832764,1.0
26,him_her,1,territorial,territorial,16,1,0,-1.4549481868743896,0.0
27,him_her,1,territorial,territorial,32,1,1,-2.45869779586792,0.0
28,him_her,1,territorial,evasive,30,0,0,-1.5173231363296509,1.0
29,him_her,1,territorial,territorial,31,1,1,-2.2338500022888184,1.0
30,him_her,1,territorial,territorial,19,1,1,-2.440706491470337,1.0
31,him_her,1,territorial,territorial,29,1,1,-2.4195663928985596,1.0
32,him_her,1,territorial,territorial,32,1,0,-1.8067628145217896,0.0
33,him_her,1,territorial,territorial,28,1,0,-1.5849745273590088,0.0
34,him_her,1,territorial,territorial,26,1,0,-1.4995089769363403,0.0
35,him_her,1,territorial,territorial,17,1,0,-1.5568270683288574,0.0
36,him_her,1,territorial,territorial,23,1,0,-1.3345208168029785,0.0
37,him_her,1,territorial,territorial,27,1,0,-1.4503883123397827,0.0
38,him_her,0,evasive,evasive,20,1,1,-2.537537097930908,1.0
39,him_her,1,territorial,territorial,28,1,1,-4.681365966796875,0.0
40,him_her,1,territorial,territorial,18,1,1,-2.560227870941162,1.0
41,him_her,1,territorial,territorial,27,1,0,-1.828018069267273,1.0
42,him_her,1,territorial,territorial,26,1,0,-1.7219401597976685,0.0
43,him_her,1,territorial,territorial,21,1,0,-1.3359078168869019,0.0
44,him_her,1,territorial,evasive,28,0,0,-1.4818862676620483,1.0
45,him_her,0,evasive,evasive,19,1,1,-2.308580160140991,1.0
46,him_her,1,territorial,evasive,29,0,1,-5.5037407875061035,1.0
47,him_her,1,territorial,territorial,33,1,0,-1.8725903034210205,0.0
