episode,agent_type,belief_evasive,belief_territorial,map_model_id,map_model_name,prior_model_id,prior_model_name,switched,true_end_policy,switch_point,model_correct,episode_reward,log_lik_per_step
52,bayesian,5.370730278558382e-33,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.3595916032791138
53,bayesian,4.5783021629909485e-22,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.271726369857788
54,bayesian,1.3945835212272837e-30,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.463625192642212
55,bayesian,4.566010641404782e-20,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.4061497449874878
56,bayesian,5.980423003653673e-58,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.7179150581359863
57,bayesian,9.350225590218228e-05,0.9999064977440972,1,territorial,1,territorial,0,evasive,25,0,1.0,-3.202373743057251
58,bayesian,2.784598765060712e-40,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.8076958656311035
59,bayesian,0.9061560406079836,0.09384395939201802,0,evasive,1,territorial,1,evasive,32,1,1.0,-2.4400131702423096
60,bayesian,1.1577998218098623e-32,1.0,1,territorial,0,evasive,1,territorial,32,1,0.0,-4.915503978729248
61,bayesian,2.2554250930678902e-09,0.9999999977445739,1,territorial,1,territorial,0,evasive,33,0,1.0,-2.778109312057495
62,bayesian,5.3274836798847464e-36,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.5849276781082153
63,bayesian,4.109808164551495e-59,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.4230573177337646
64,bayesian,1.7977742407048727e-57,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.4000272750854492
65,bayesian,8.736887107492837e-28,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-2.013213872909546
66,bayesian,3.471849310660855e-20,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.3038781881332397
67,bayesian,2.7629485346470114e-11,0.999999999972367,1,territorial,1,territorial,0,territorial,28,1,0.0,-1.4271411895751953
68,bayesian,2.353493500051407e-43,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.466790795326233
69,bayesian,2.9142147956035267e-35,1.0,1,territorial,1,territorial,0,territorial,19,1,0.0,-1.4944868087768555
70,bayesian,7.090028548250423e-25,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.5824472904205322
71,bayesian,4.57493846473401e-72,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.3306164741516113
72,bayesian,2.1783052223162627e-34,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-2.1863765716552734
73,bayesian,1.6495705408272145e-45,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.3922905921936035
74,bayesian,1.1930513349264864e-44,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.4218722581863403
75,bayesian,1.4904094726393804e-39,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.4929044246673584
76,bayesian,3.6949824574831036e-16,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.3385387659072876
77,bayesian,1.3298189712379461e-28,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.360996961593628
78,bayesian,8.833968729661291e-37,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.309047818183899
79,bayesian,1.2719630960852691e-06,0.999998728036904,1,territorial,1,territorial,0,evasive,27,0,1.0,-3.1933419704437256
80,bayesian,5.63429147930663e-28,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.4854340553283691
81,bayesian,1.6436255329661493e-41,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.521937370300293
82,bayesian,9.499372871182532e-35,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.5004633665084839
83,bayesian,8.2794971642097e-50,1.0,1,territorial,1,territorial,0,territorial,32,1,0.0,-1.602944254875183
84,bayesian,1.868179427962905e-40,1.0,1,territorial,1,territorial,0,territorial,33,1,0.0,-1.9350817203521729
85,bayesian,9.135929228017666e-46,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.4208903312683105
86,bayesian,2.2923969508315064e-44,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.4569439888000488
87,bayesian,1.5205043211899257e-46,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.267302393913269
88,bayesian,1.1379871064920655e-60,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.423941731452942
89,bayesian,9.325593858895416e-35,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.7262543439865112
90,bayesian,5.743093700634393e-51,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.4472966194152832
91,bayesian,8.007136143549615e-07,0.9999991992863863,1,territorial,1,territorial,0,evasive,17,0,1.0,-2.3960940837860107
92,bayesian,1.3294395741946284e-34,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.309772253036499
93,bayesian,1.1825311811455245e-35,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.7637859582901
94,bayesian,4.351166512769946e-37,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.4375972747802734
95,bayesian,2.7970305645670084e-42,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.3789833784103394
96,bayesian,4.866259061824057e-44,1.0,1,territorial,1,territorial,0,territorial,19,1,0.0,-1.49028480052948
97,bayesian,9.189797179985143e-30,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.465523600578308
98,bayesian,4.0659860885192903e-38,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.3386777639389038
99,bayesian,3.719579325448699e-44,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.344467282295227
100,bayesian,1.6712531009629338e-28,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.6649465560913086
101,bayesian,6.689622485501029e-62,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.8120839595794678
102,bayesian,4.0145630889947013e-08,0.99999995985437,1,territorial,1,territorial,0,evasive,22,0,1.0,-2.121598720550537
103,bayesian,0.9999839306177186,1.6069382281079925e-05,0,evasive,1,territorial,1,evasive,27,1,1.0,-7.313589096069336
104,bayesian,1.5797578369587633e-45,1.0,1,territorial,0,evasive,1,territorial,30,1,0.0,-5.946897506713867
105,bayesian,8.83604708217873e-32,1.0,1,territorial,1,territorial,0,territorial,28,1,0.0,-1.6902092695236206
106,bayesian,5.029847960772852e-17,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.4493578672409058
107,bayesian,2.2213859445691688e-35,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.4067789316177368
108,bayesian,2.4715598978814052e-46,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.535490870475769
109,bayesian,4.949467696868752e-25,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.5674405097961426
110,bayesian,2.8744106766204417e-29,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.5140018463134766
111,bayesian,5.865167270825773e-76,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.5952305793762207
112,bayesian,1.459634451154969e-36,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.3819384574890137
113,bayesian,4.346015210023956e-41,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.4705990552902222
114,bayesian,2.4017986517040907e-58,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.4994642734527588
115,bayesian,2.6203661188079257e-45,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.4628918170928955
116,bayesian,8.704638018212103e-46,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.3519991636276245
117,bayesian,4.539069372442622e-45,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.4784581661224365
118,bayesian,1.3821516539977517e-25,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.5163151025772095
119,bayesian,3.591515884009561e-33,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.5239320993423462
120,bayesian,1.3812612397978484e-32,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.459694504737854
121,bayesian,6.55574384455819e-28,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.745113492012024
122,bayesian,1.0375064722809371e-51,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.5746080875396729
123,bayesian,1.174757032412371e-28,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.4560343027114868
124,bayesian,3.453959559121837e-52,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.5016778707504272
125,bayesian,6.137598470788696e-31,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.5470256805419922
126,bayesian,1.5163891972448086e-53,1.0,1,territorial,1,territorial,0,territorial,25,1,0.0,-1.349897027015686
127,bayesian,1.9876549117603523e-43,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.4468334913253784
128,bayesian,1.2966459248977522e-60,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.569029450416565
129,bayesian,6.09302806325953e-28,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.553722858428955
130,bayesian,1.8578399821941267e-39,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.4628335237503052
131,bayesian,3.588444610836036e-50,1.0,1,territorial,1,territorial,0,territorial,33,1,0.0,-1.7273075580596924
132,bayesian,8.065261355054787e-23,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.5673686265945435
133,bayesian,1.0120620072012048e-37,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.5023975372314453
134,bayesian,3.755853949442653e-43,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.5061403512954712
135,bayesian,2.8553664261853925e-26,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.9395252466201782
136,bayesian,1.8951311893234152e-56,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.4276044368743896
137,bayesian,8.350293138754206e-35,1.0,1,territorial,1,territorial,0,territorial,19,1,0.0,-1.436180591583252
138,bayesian,1.4192710918655913e-45,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.4358052015304565
139,bayesian,9.893802137505602e-22,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.5434156656265259
140,bayesian,1.8651901094563525e-16,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.4355348348617554
141,bayesian,3.837802732443759e-34,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.4320964813232422
142,bayesian,1.0467518878458505e-31,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.8597971200942993
143,bayesian,8.478976615894942e-65,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.5782335996627808
144,bayesian,4.394865600638286e-55,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.6022589206695557
145,bayesian,1.6586585237389921e-43,1.0,1,territorial,1,territorial,0,territorial,23,1,0.0,-1.4235939979553223
146,bayesian,4.652492516768688e-30,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.5694080591201782
147,bayesian,1.9025548180129578e-42,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.5178133249282837
148,bayesian,6.1359363671964525e-31,1.0,1,territorial,1,territorial,0,territorial,32,1,0.0,-2.1543021202087402
149,bayesian,6.9919402293237314e-40,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.5155504941940308
150,bayesian,4.2907763384965634e-58,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.491601824760437
151,bayesian,4.787024652767032e-40,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.519734263420105
152,bayesian,6.7199342532435626e-46,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.5577558279037476
153,bayesian,9.322750758472964e-12,0.9999999999906777,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.5163110494613647
154,bayesian,1.4897459381352004e-37,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.4875893592834473
155,bayesian,3.46023781769268e-59,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.4999117851257324
156,bayesian,8.123863982790405e-39,1.0,1,territorial,1,territorial,0,territorial,32,1,0.0,-1.6722867488861084
157,bayesian,6.868637998043636e-41,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.7343809604644775
158,bayesian,5.334338211050153e-28,1.0,1,territorial,1,territorial,0,territorial,32,1,0.0,-2.1583752632141113
159,bayesian,9.434589993726558e-49,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.7643964290618896
160,bayesian,1.132554957354242e-55,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.4049320220947266
161,bayesian,5.72274357547889e-40,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.4321212768554688
162,bayesian,4.2041858974656904e-38,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.5663740634918213
163,bayesian,1.347823612440616e-40,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.9447871446609497
164,bayesian,1.1035405658620583e-27,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.4831582307815552
165,bayesian,1.3288659522723652e-35,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.5779309272766113
166,bayesian,2.580269301275843e-25,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.6508442163467407
167,bayesian,0.6835339894453625,0.3164660105546374,0,evasive,1,territorial,1,evasive,32,1,1.0,-2.2625720500946045
168,bayesian,2.2324736692383675e-56,1.0,1,territorial,0,evasive,1,territorial,27,1,0.0,-6.818936824798584
169,bayesian,6.391807445384007e-33,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.9880133867263794
170,bayesian,1.9715349454816983e-48,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.8255207538604736
171,bayesian,8.18921080655492e-15,0.9999999999999929,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.5833380222320557
172,bayesian,2.1984924074107285e-25,1.0,1,territorial,1,territorial,0,territorial,31,1,0.0,-1.8140286207199097
173,bayesian,1.1767873403011809e-23,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.5062649250030518
174,bayesian,3.611290682406868e-45,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.4646555185317993
175,bayesian,7.36133273123145e-18,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.372673749923706
176,bayesian,4.814154373371278e-44,1.0,1,territorial,1,territorial,0,territorial,18,1,0.0,-1.4680579900741577
177,bayesian,1.070732874238441e-54,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.4824036359786987
178,bayesian,6.243661980983648e-43,1.0,1,territorial,1,territorial,0,territorial,29,1,0.0,-1.4714949131011963
179,bayesian,2.9962811887516016e-64,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.4218918085098267
180,bayesian,4.111128432127037e-65,1.0,1,territorial,1,territorial,0,territorial,22,1,0.0,-1.4005718231201172
181,bayesian,3.059355388254903e-41,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.7470530271530151
182,bayesian,7.291715425601353e-55,1.0,1,territorial,1,territorial,0,territorial,28,1,0.0,-1.5900464057922363
183,bayesian,2.7853452590899604e-53,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.4621458053588867
184,bayesian,6.831759642661715e-58,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.5257947444915771
185,bayesian,5.729133319282317e-21,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.7030750513076782
186,bayesian,3.3760661172509404e-56,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.5063105821609497
187,bayesian,4.6151303006446525e-35,1.0,1,territorial,1,territorial,0,territorial,24,1,0.0,-1.5189900398254395
188,bayesian,2.595231775649746e-72,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.44465172290802
189,bayesian,9.810663363238679e-38,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.556619644165039
190,bayesian,3.2871159560589074e-44,1.0,1,territorial,1,territorial,0,territorial,26,1,0.0,-1.495747685432434
191,bayesian,5.022415158419536e-22,1.0,1,territorial,1,territorial,0,territorial,28,1,0.0,-1.6340246200561523
192,bayesian,8.853499701159376e-45,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.42559814453125
193,bayesian,5.511713784308304e-21,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.5040546655654907
194,bayesian,5.6597709507839225e-52,1.0,1,territorial,1,territorial,0,territorial,27,1,0.0,-1.4855905771255493
195,bayesian,6.4353401432917255e-53,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.523821234703064
196,bayesian,1.5914922215625324e-45,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.5939977169036865
197,bayesian,9.827069115821395e-23,1.0,1,territorial,1,territorial,0,territorial,19,1,0.0,-1.4080382585525513
198,bayesian,3.213041546729361e-36,1.0,1,territorial,1,territorial,0,territorial,20,1,0.0,-1.5650979280471802
199,bayesian,4.798441672655517e-29,1.0,1,territorial,1,territorial,0,territorial,33,1,0.0,-1.8770880699157715
