episode,agent_type,episode_reward,reward_100ep_mean
0,static,1.0,1.0
1,static,0.0,0.5
2,static,0.0,0.3333333333333333
3,static,0.0,0.25
4,static,1.0,0.4
5,static,0.0,0.3333333333333333
6,static,0.0,0.2857142857142857
7,static,0.0,0.25
8,static,1.0,0.3333333333333333
9,static,1.0,0.4
10,static,0.0,0.36363636363636365
11,static,0.0,0.3333333333333333
12,static,0.0,0.3076923076923077
13,static,0.0,0.2857142857142857
14,static,1.0,0.3333333333333333
15,static,0.0,0.3125
16,static,0.0,0.29411764705882354
17,static,0.0,0.2777777777777778
18,static,1.0,0.3157894736842105
19,static,0.0,0.3
20,static,0.0,0.2857142857142857
21,static,1.0,0.3181818181818182
22,static,1.0,0.34782608695652173
23,static,1.0,0.375
24,static,1.0,0.4
25,static,1.0,0.4230769230769231
26,static,0.0,0.4074074074074074
27,static,0.0,0.39285714285714285
28,static,0.0,0.3793103448275862
29,static,0.0,0.36666666666666664
30,static,0.0,0.3548387096774194
31,static,0.0,0.34375
32,static,0.0,0.3333333333333333
33,static,1.0,0.35294117647058826
34,static,1.0,0.37142857142857144
35,static,0.0,0.3611111111111111
36,static,0.0,0.35135135135135137
37,static,1.0,0.3684210526315789
38,static,0.0,0.358974358974359
39,static,0.0,0.35
40,static,0.0,0.34146341463414637
41,static,0.0,0.3333333333333333
42,static,1.0,0.3488372093023256
43,static,1.0,0.36363636363636365
44,static,0.0,0.35555555555555557
45,static,0.0,0.34782608695652173
46,static,0.0,0.3404255319148936
47,static,1.0,0.3541666666666667
48,static,0.0,0.3469387755102041
49,static,0.0,0.34
50,static,1.0,0.35294117647058826
51,static,0.0,0.34615384615384615
52,static,0.0,0.33962264150943394
53,static,0.0,0.3333333333333333
54,static,0.0,0.32727272727272727
55,static,0.0,0.32142857142857145
56,static,0.0,0.3157894736842105
57,static,0.0,0.3103448275862069
58,static,0.0,0.3050847457627119
59,static,1.0,0.31666666666666665
60,static,0.0,0.3114754098360656
61,static,0.0,0.3064516129032258
62,static,0.0,0.30158730158730157
63,static,0.0,0.296875
64,static,0.0,0.2923076923076923
65,static,1.0,0.30303030303030304
66,static,0.0,0.29850746268656714
67,static,0.0,0.29411764705882354
68,static,0.0,0.2898550724637681
69,static,0.0,0.2857142857142857
70,static,1.0,0.29577464788732394
71,static,0.0,0.2916666666666667
72,static,0.0,0.2876712328767123
73,static,0.0,0.28378378378378377
74,static,0.0,0.28
75,static,0.0,0.27631578947368424
76,static,0.0,0.2727272727272727
77,static,0.0,0.2692307692307692
78,static,0.0,0.26582278481012656
79,static,0.0,0.2625
80,static,0.0,0.25925925925925924
81,static,0.0,0.25609756097560976
82,static,0.0,0.25301204819277107
83,static,0.0,0.25
84,static,0.0,0.24705882352941178
85,static,0.0,0.2441860465116279
86,static,0.0,0.2413793103448276
87,static,0.0,0.23863636363636365
88,static,0.0,0.23595505617977527
89,static,0.0,0.23333333333333334
90,static,0.0,0.23076923076923078
91,static,1.0,0.2391304347826087
92,static,0.0,0.23655913978494625
93,static,1.0,0.24468085106382978
94,static,1.0,0.25263157894736843
95,static,0.0,0.25
96,static,0.0,0.24742268041237114
97,static,0.0,0.24489795918367346
98,static,0.0,0.24242424242424243
99,static,0.0,0.24
100,static,0.0,0.23
101,static,0.0,0.23
102,static,0.0,0.23
103,static,0.0,0.23
104,static,0.0,0.22
105,static,0.0,0.22
106,static,0.0,0.22
107,static,0.0,0.22
108,static,0.0,0.21
109,static,0.0,0.2
110,static,0.0,0.2
111,static,0.0,0.2
112,static,0.0,0.2
113,static,0.0,0.2
114,static,0.0,0.19
115,static,0.0,0.19
116,static,0.0,0.19
117,static,0.0,0.19
118,static,0.0,0.18
119,static,0.0,0.18
120,static,0.0,0.18
121,static,0.0,0.17
122,static,0.0,0.16
123,static,0.0,0.15
124,static,0.0,0.14
125,static,0.0,0.13
126,static,0.0,0.13
127,static,0.0,0.13
128,static,0.0,0.13
129,static,0.0,0.13
130,static,0.0,0.13
131,static,0.0,0.13
132,static,0.0,0.13
133,static,0.0,0.12
134,static,0.0,0.11
135,static,0.0,0.11
136,static,0.0,0.11
137,static,0.0,0.1
138,static,0.0,0.1
139,static,0.0,0.1
140,static,0.0,0.1
141,static,0.0,0.1
142,static,0.0,0.09
143,static,0.0,0.08
144,static,0.0,0.08
145,static,0.0,0.08
146,static,0.0,0.08
147,static,0.0,0.07
148,static,0.0,0.07
149,static,0.0,0.07
150,static,0.0,0.06
151,static,0.0,0.06
152,static,0.0,0.06
153,static,0.0,0.06
154,static,0.0,0.06
155,static,0.0,0.06
156,static,0.0,0.06
157,static,0.0,0.06
158,static,0.0,0.06
159,static,0.0,0.05
160,static,0.0,0.05
161,static,0.0,0.05
162,static,1.0,0.06
163,static,0.0,0.06
164,static,0.0,0.06
165,static,0.0,0.05
166,static,1.0,0.06
167,static,0.0,0.06
168,static,0.0,0.06
169,static,0.0,0.06
170,static,0.0,0.05
171,static,0.0,0.05
172,static,0.0,0.05
173,static,0.0,0.05
174,static,0.0,0.05
175,static,0.0,0.05
176,static,0.0,0.05
177,static,0.0,0.05
178,static,0.0,0.05
179,static,0.0,0.05
180,static,0.0,0.05
181,static,0.0,0.05
182,static,0.0,0.05
183,static,0.0,0.05
184,static,0.0,0.05
185,static,0.0,0.05
186,static,0.0,0.05
187,static,0.0,0.05
188,static,0.0,0.05
189,static,0.0,0.05
190,static,0.0,0.05
191,static,0.0,0.04
192,static,0.0,0.04
193,static,0.0,0.03
194,static,0.0,0.02
195,static,1.0,0.03
196,static,0.0,0.03
197,static,1.0,0.04
198,static,0.0,0.04
199,static,0.0,0.04
200,static,0.0,0.04
201,static,0.0,0.04
202,static,0.0,0.04
203,static,0.0,0.04
204,static,0.0,0.04
205,static,0.0,0.04
206,static,0.0,0.04
207,static,0.0,0.04
208,static,0.0,0.04
209,static,0.0,0.04
210,static,0.0,0.04
211,static,0.0,0.04
212,static,0.0,0.04
213,static,0.0,0.04
214,static,0.0,0.04
215,static,0.0,0.04
216,static,0.0,0.04
217,static,0.0,0.04
218,static,0.0,0.04
219,static,0.0,0.04
220,static,0.0,0.04
221,static,0.0,0.04
222,static,0.0,0.04
223,static,0.0,0.04
224,static,0.0,0.04
225,static,0.0,0.04
226,static,0.0,0.04
227,static,0.0,0.04
228,static,0.0,0.04
229,static,0.0,0.04
230,static,0.0,0.04
231,static,0.0,0.04
232,static,0.0,0.04
233,static,0.0,0.04
234,static,0.0,0.04
235,static,0.0,0.04
236,static,0.0,0.04
237,static,0.0,0.04
238,static,1.0,0.05
239,static,1.0,0.06
240,static,0.0,0.06
241,static,1.0,0.07
242,static,0.0,0.07
243,static,0.0,0.07
244,static,0.0,0.07
245,static,0.0,0.07
246,static,0.0,0.07
247,static,0.0,0.07
248,static,0.0,0.07
249,static,0.0,0.07
250,static,0.0,0.07
251,static,0.0,0.07
252,static,0.0,0.07
253,static,0.0,0.07
254,static,0.0,0.07
255,static,0.0,0.07
256,static,0.0,0.07
257,static,0.0,0.07
258,static,0.0,0.07
259,static,0.0,0.07
260,static,0.0,0.07
261,static,0.0,0.07
262,static,0.0,0.06
263,static,0.0,0.06
264,static,0.0,0.06
265,static,0.0,0.06
266,static,0.0,0.05
267,static,0.0,0.05
268,static,0.0,0.05
269,static,1.0,0.06
270,static,0.0,0.06
271,static,0.0,0.06
272,static,0.0,0.06
273,static,0.0,0.06
274,static,1.0,0.07
275,static,0.0,0.07
276,static,0.0,0.07
277,static,0.0,0.07
278,static,0.0,0.07
279,static,0.0,0.07
280,static,0.0,0.07
281,static,0.0,0.07
282,static,0.0,0.07
283,static,0.0,0.07
284,static,0.0,0.07
285,static,0.0,0.07
286,static,0.0,0.07
287,static,0.0,0.07
288,static,0.0,0.07
289,static,0.0,0.07
290,static,0.0,0.07
291,static,0.0,0.07
292,static,0.0,0.07
293,static,0.0,0.07
294,static,0.0,0.07
295,static,0.0,0.06
296,static,0.0,0.06
297,static,0.0,0.05
298,static,0.0,0.05
299,static,0.0,0.05
300,static,1.0,0.06
301,static,0.0,0.06
302,static,0.0,0.06
303,static,0.0,0.06
304,static,0.0,0.06
305,static,0.0,0.06
306,static,0.0,0.06
307,static,0.0,0.06
308,static,0.0,0.06
309,static,0.0,0.06
310,static,0.0,0.06
311,static,0.0,0.06
312,static,0.0,0.06
313,static,0.0,0.06
314,static,0.0,0.06
315,static,0.0,0.06
316,static,0.0,0.06
317,static,0.0,0.06
318,static,0.0,0.06
319,static,0.0,0.06
320,static,0.0,0.06
321,static,0.0,0.06
322,static,0.0,0.06
323,static,0.0,0.06
324,static,0.0,0.06
325,static,0.0,0.06
326,static,0.0,0.06
327,static,0.0,0.06
328,static,0.0,0.06
329,static,0.0,0.06
330,static,0.0,0.06
331,static,0.0,0.06
332,static,0.0,0.06
333,static,0.0,0.06
334,static,0.0,0.06
335,static,0.0,0.06
336,static,0.0,0.06
337,static,0.0,0.06
338,static,0.0,0.05
339,static,0.0,0.04
340,static,0.0,0.04
341,static,0.0,0.03
342,static,0.0,0.03
343,static,0.0,0.03
344,static,0.0,0.03
345,static,0.0,0.03
346,static,0.0,0.03
347,static,0.0,0.03
348,static,0.0,0.03
349,static,0.0,0.03
350,static,0.0,0.03
351,static,0.0,0.03
352,static,0.0,0.03
353,static,0.0,0.03
354,static,0.0,0.03
355,static,0.0,0.03
356,static,0.0,0.03
357,static,0.0,0.03
358,static,0.0,0.03
359,static,1.0,0.04
360,static,0.0,0.04
361,static,0.0,0.04
362,static,0.0,0.04
363,static,0.0,0.04
364,static,0.0,0.04
365,static,0.0,0.04
366,static,0.0,0.04
367,static,0.0,0.04
368,static,0.0,0.04
369,static,0.0,0.03
370,static,0.0,0.03
371,static,0.0,0.03
372,static,0.0,0.03
373,static,0.0,0.03
374,static,0.0,0.02
375,static,0.0,0.02
376,static,0.0,0.02
377,static,1.0,0.03
378,static,0.0,0.03
379,static,0.0,0.03
380,static,0.0,0.03
381,static,0.0,0.03
382,static,0.0,0.03
383,static,0.0,0.03
384,static,0.0,0.03
385,static,0.0,0.03
386,static,0.0,0.03
387,static,0.0,0.03
388,static,0.0,0.03
389,static,0.0,0.03
390,static,0.0,0.03
391,static,0.0,0.03
392,static,0.0,0.03
393,static,0.0,0.03
394,static,1.0,0.04
395,static,0.0,0.04
396,static,0.0,0.04
397,static,0.0,0.04
398,static,0.0,0.04
399,static,0.0,0.04
400,static,0.0,0.03
401,static,0.0,0.03
402,static,0.0,0.03
403,static,0.0,0.03
404,static,0.0,0.03
405,static,0.0,0.03
406,static,0.0,0.03
407,static,0.0,0.03
408,static,0.0,0.03
409,static,0.0,0.03
410,static,0.0,0.03
411,static,0.0,0.03
412,static,0.0,0.03
413,static,0.0,0.03
414,static,0.0,0.03
415,static,0.0,0.03
416,static,0.0,0.03
417,static,0.0,0.03
418,static,0.0,0.03
419,static,0.0,0.03
420,static,0.0,0.03
421,static,0.0,0.03
422,static,0.0,0.03
423,static,0.0,0.03
424,static,0.0,0.03
425,static,0.0,0.03
426,static,0.0,0.03
427,static,0.0,0.03
428,static,0.0,0.03
429,static,0.0,0.03
430,static,0.0,0.03
431,static,0.0,0.03
432,static,0.0,0.03
433,static,0.0,0.03
434,static,0.0,0.03
435,static,0.0,0.03
436,static,0.0,0.03
437,static,0.0,0.03
438,static,0.0,0.03
439,static,0.0,0.03
440,static,0.0,0.03
441,static,1.0,0.04
442,static,0.0,0.04
443,static,0.0,0.04
444,static,0.0,0.04
445,static,0.0,0.04
446,static,0.0,0.04
447,static,0.0,0.04
448,static,0.0,0.04
449,static,0.0,0.04
450,static,0.0,0.04
451,static,0.0,0.04
452,static,0.0,0.04
453,static,0.0,0.04
454,static,0.0,0.04
455,static,0.0,0.04
456,static,0.0,0.04
457,static,0.0,0.04
458,static,0.0,0.04
459,static,1.0,0.04
460,static,1.0,0.05
461,static,0.0,0.05
462,static,0.0,0.05
463,static,0.0,0.05
464,static,0.0,0.05
465,static,0.0,0.05
466,static,0.0,0.05
467,static,0.0,0.05
468,static,0.0,0.05
469,static,0.0,0.05
470,static,0.0,0.05
471,static,0.0,0.05
472,static,0.0,0.05
473,static,0.0,0.05
474,static,0.0,0.05
475,static,0.0,0.05
476,static,0.0,0.05
477,static,0.0,0.04
478,static,0.0,0.04
479,static,0.0,0.04
480,static,0.0,0.04
481,static,1.0,0.05
482,static,0.0,0.05
483,static,0.0,0.05
484,static,0.0,0.05
485,static,0.0,0.05
486,static,0.0,0.05
487,static,0.0,0.05
488,static,0.0,0.05
489,static,0.0,0.05
490,static,0.0,0.05
491,static,0.0,0.05
492,static,0.0,0.05
493,static,0.0,0.05
494,static,0.0,0.04
495,static,0.0,0.04
496,static,0.0,0.04
497,static,1.0,0.05
498,static,0.0,0.05
499,static,0.0,0.05
