episode,agent_type,episode_reward,reward_100ep_mean
0,static,1.0,1.0
1,static,0.0,0.5
2,static,1.0,0.6666666666666666
3,static,1.0,0.75
4,static,1.0,0.8
5,static,1.0,0.8333333333333334
6,static,1.0,0.8571428571428571
7,static,1.0,0.875
8,static,0.0,0.7777777777777778
9,static,0.0,0.7
10,static,1.0,0.7272727272727273
11,static,1.0,0.75
12,static,1.0,0.7692307692307693
13,static,1.0,0.7857142857142857
14,static,1.0,0.8
15,static,0.0,0.75
16,static,0.0,0.7058823529411765
17,static,1.0,0.7222222222222222
18,static,0.0,0.6842105263157895
19,static,1.0,0.7
20,static,0.0,0.6666666666666666
21,static,0.0,0.6363636363636364
22,static,1.0,0.6521739130434783
23,static,0.0,0.625
24,static,0.0,0.6
25,static,0.0,0.5769230769230769
26,static,0.0,0.5555555555555556
27,static,0.0,0.5357142857142857
28,static,1.0,0.5517241379310345
29,static,0.0,0.5333333333333333
30,static,1.0,0.5483870967741935
31,static,0.0,0.53125
32,static,0.0,0.5151515151515151
33,static,1.0,0.5294117647058824
34,static,1.0,0.5428571428571428
35,static,0.0,0.5277777777777778
36,static,0.0,0.5135135135135135
37,static,0.0,0.5
38,static,0.0,0.48717948717948717
39,static,0.0,0.475
40,static,0.0,0.4634146341463415
41,static,0.0,0.4523809523809524
42,static,0.0,0.4418604651162791
43,static,0.0,0.4318181818181818
44,static,1.0,0.4444444444444444
45,static,0.0,0.43478260869565216
46,static,0.0,0.425531914893617
47,static,1.0,0.4375
48,static,0.0,0.42857142857142855
49,static,0.0,0.42
50,static,0.0,0.4117647058823529
51,static,0.0,0.40384615384615385
52,static,0.0,0.39622641509433965
53,static,0.0,0.3888888888888889
54,static,1.0,0.4
55,static,0.0,0.39285714285714285
56,static,0.0,0.38596491228070173
57,static,0.0,0.3793103448275862
58,static,0.0,0.3728813559322034
59,static,1.0,0.38333333333333336
60,static,0.0,0.3770491803278688
61,static,0.0,0.3709677419354839
62,static,0.0,0.36507936507936506
63,static,0.0,0.359375
64,static,1.0,0.36923076923076925
65,static,1.0,0.3787878787878788
66,static,0.0,0.373134328358209
67,static,0.0,0.36764705882352944
68,static,0.0,0.36231884057971014
69,static,0.0,0.35714285714285715
70,static,0.0,0.352112676056338
71,static,0.0,0.3472222222222222
72,static,0.0,0.3424657534246575
73,static,0.0,0.33783783783783783
74,static,0.0,0.3333333333333333
75,static,0.0,0.32894736842105265
76,static,0.0,0.3246753246753247
77,static,0.0,0.32051282051282054
78,static,0.0,0.31645569620253167
79,static,1.0,0.325
80,static,0.0,0.32098765432098764
81,static,0.0,0.3170731707317073
82,static,1.0,0.3253012048192771
83,static,0.0,0.32142857142857145
84,static,1.0,0.32941176470588235
85,static,0.0,0.32558139534883723
86,static,0.0,0.3218390804597701
87,static,1.0,0.32954545454545453
88,static,0.0,0.3258426966292135
89,static,0.0,0.32222222222222224
90,static,0.0,0.31868131868131866
91,static,0.0,0.31521739130434784
92,static,0.0,0.3118279569892473
93,static,0.0,0.30851063829787234
94,static,0.0,0.30526315789473685
95,static,0.0,0.3020833333333333
96,static,0.0,0.29896907216494845
97,static,0.0,0.29591836734693877
98,static,0.0,0.29292929292929293
99,static,0.0,0.29
100,static,0.0,0.28
101,static,0.0,0.28
102,static,0.0,0.27
103,static,0.0,0.26
104,static,0.0,0.25
105,static,0.0,0.24
106,static,0.0,0.23
107,static,0.0,0.22
108,static,0.0,0.22
109,static,0.0,0.22
110,static,0.0,0.21
111,static,0.0,0.2
112,static,0.0,0.19
113,static,1.0,0.19
114,static,0.0,0.18
115,static,1.0,0.19
116,static,0.0,0.19
117,static,0.0,0.18
118,static,0.0,0.18
119,static,1.0,0.18
120,static,0.0,0.18
121,static,0.0,0.18
122,static,0.0,0.17
123,static,0.0,0.17
124,static,0.0,0.17
125,static,0.0,0.17
126,static,0.0,0.17
127,static,0.0,0.17
128,static,0.0,0.16
129,static,1.0,0.17
130,static,0.0,0.16
131,static,0.0,0.16
132,static,0.0,0.16
133,static,0.0,0.15
134,static,0.0,0.14
135,static,0.0,0.14
136,static,0.0,0.14
137,static,0.0,0.14
138,static,0.0,0.14
139,static,0.0,0.14
140,static,0.0,0.14
141,static,0.0,0.14
142,static,0.0,0.14
143,static,0.0,0.14
144,static,0.0,0.13
145,static,0.0,0.13
146,static,0.0,0.13
147,static,0.0,0.12
148,static,0.0,0.12
149,static,0.0,0.12
150,static,0.0,0.12
151,static,1.0,0.13
152,static,0.0,0.13
153,static,0.0,0.13
154,static,0.0,0.12
155,static,0.0,0.12
156,static,0.0,0.12
157,static,0.0,0.12
158,static,0.0,0.12
159,static,0.0,0.11
160,static,0.0,0.11
161,static,0.0,0.11
162,static,0.0,0.11
163,static,0.0,0.11
164,static,1.0,0.11
165,static,0.0,0.1
166,static,0.0,0.1
167,static,0.0,0.1
168,static,0.0,0.1
169,static,0.0,0.1
170,static,0.0,0.1
171,static,0.0,0.1
172,static,0.0,0.1
173,static,0.0,0.1
174,static,0.0,0.1
175,static,0.0,0.1
176,static,0.0,0.1
177,static,0.0,0.1
178,static,0.0,0.1
179,static,0.0,0.09
180,static,0.0,0.09
181,static,0.0,0.09
182,static,0.0,0.08
183,static,0.0,0.08
184,static,0.0,0.07
185,static,0.0,0.07
186,static,0.0,0.07
187,static,1.0,0.07
188,static,0.0,0.07
189,static,0.0,0.07
190,static,0.0,0.07
191,static,0.0,0.07
192,static,0.0,0.07
193,static,0.0,0.07
194,static,0.0,0.07
195,static,0.0,0.07
196,static,0.0,0.07
197,static,0.0,0.07
198,static,0.0,0.07
199,static,0.0,0.07
200,static,0.0,0.07
201,static,0.0,0.07
202,static,0.0,0.07
203,static,0.0,0.07
204,static,0.0,0.07
205,static,0.0,0.07
206,static,0.0,0.07
207,static,0.0,0.07
208,static,0.0,0.07
209,static,0.0,0.07
210,static,0.0,0.07
211,static,0.0,0.07
212,static,0.0,0.07
213,static,1.0,0.07
214,static,0.0,0.07
215,static,0.0,0.06
216,static,0.0,0.06
217,static,0.0,0.06
218,static,0.0,0.06
219,static,0.0,0.05
220,static,0.0,0.05
221,static,0.0,0.05
222,static,0.0,0.05
223,static,0.0,0.05
224,static,0.0,0.05
225,static,0.0,0.05
226,static,0.0,0.05
227,static,0.0,0.05
228,static,0.0,0.05
229,static,0.0,0.04
230,static,0.0,0.04
231,static,0.0,0.04
232,static,0.0,0.04
233,static,0.0,0.04
234,static,0.0,0.04
235,static,0.0,0.04
236,static,0.0,0.04
237,static,0.0,0.04
238,static,0.0,0.04
239,static,0.0,0.04
240,static,0.0,0.04
241,static,0.0,0.04
242,static,0.0,0.04
243,static,0.0,0.04
244,static,0.0,0.04
245,static,0.0,0.04
246,static,1.0,0.05
247,static,0.0,0.05
248,static,0.0,0.05
249,static,0.0,0.05
250,static,0.0,0.05
251,static,1.0,0.05
252,static,0.0,0.05
253,static,0.0,0.05
254,static,0.0,0.05
255,static,0.0,0.05
256,static,0.0,0.05
257,static,0.0,0.05
258,static,1.0,0.06
259,static,1.0,0.07
260,static,0.0,0.07
261,static,1.0,0.08
262,static,0.0,0.08
263,static,0.0,0.08
264,static,0.0,0.07
265,static,0.0,0.07
266,static,0.0,0.07
267,static,0.0,0.07
268,static,0.0,0.07
269,static,0.0,0.07
270,static,0.0,0.07
271,static,0.0,0.07
272,static,1.0,0.08
273,static,0.0,0.08
274,static,0.0,0.08
275,static,0.0,0.08
276,static,0.0,0.08
277,static,0.0,0.08
278,static,0.0,0.08
279,static,0.0,0.08
280,static,1.0,0.09
281,static,0.0,0.09
282,static,1.0,0.1
283,static,0.0,0.1
284,static,1.0,0.11
285,static,0.0,0.11
286,static,0.0,0.11
287,static,0.0,0.1
288,static,0.0,0.1
289,static,0.0,0.1
290,static,0.0,0.1
291,static,0.0,0.1
292,static,0.0,0.1
293,static,0.0,0.1
294,static,0.0,0.1
295,static,0.0,0.1
296,static,0.0,0.1
297,static,0.0,0.1
298,static,0.0,0.1
299,static,0.0,0.1
300,static,0.0,0.1
301,static,0.0,0.1
302,static,0.0,0.1
303,static,1.0,0.11
304,static,0.0,0.11
305,static,0.0,0.11
306,static,0.0,0.11
307,static,1.0,0.12
308,static,0.0,0.12
309,static,1.0,0.13
310,static,0.0,0.13
311,static,0.0,0.13
312,static,0.0,0.13
313,static,1.0,0.13
314,static,0.0,0.13
315,static,0.0,0.13
316,static,0.0,0.13
317,static,0.0,0.13
318,static,0.0,0.13
319,static,1.0,0.14
320,static,0.0,0.14
321,static,0.0,0.14
322,static,0.0,0.14
323,static,0.0,0.14
324,static,0.0,0.14
325,static,0.0,0.14
326,static,0.0,0.14
327,static,0.0,0.14
328,static,0.0,0.14
329,static,0.0,0.14
330,static,0.0,0.14
331,static,0.0,0.14
332,static,0.0,0.14
333,static,0.0,0.14
334,static,0.0,0.14
335,static,0.0,0.14
336,static,0.0,0.14
337,static,0.0,0.14
338,static,0.0,0.14
339,static,0.0,0.14
340,static,0.0,0.14
341,static,0.0,0.14
342,static,0.0,0.14
343,static,0.0,0.14
344,static,0.0,0.14
345,static,0.0,0.14
346,static,0.0,0.13
347,static,0.0,0.13
348,static,0.0,0.13
349,static,1.0,0.14
350,static,0.0,0.14
351,static,0.0,0.13
352,static,0.0,0.13
353,static,0.0,0.13
354,static,0.0,0.13
355,static,0.0,0.13
356,static,1.0,0.14
357,static,0.0,0.14
358,static,0.0,0.13
359,static,0.0,0.12
360,static,0.0,0.12
361,static,0.0,0.11
362,static,0.0,0.11
363,static,0.0,0.11
364,static,0.0,0.11
365,static,0.0,0.11
366,static,0.0,0.11
367,static,0.0,0.11
368,static,0.0,0.11
369,static,0.0,0.11
370,static,0.0,0.11
371,static,0.0,0.11
372,static,0.0,0.1
373,static,0.0,0.1
374,static,0.0,0.1
375,static,0.0,0.1
376,static,0.0,0.1
377,static,0.0,0.1
378,static,0.0,0.1
379,static,0.0,0.1
380,static,0.0,0.09
381,static,1.0,0.1
382,static,0.0,0.09
383,static,0.0,0.09
384,static,0.0,0.08
385,static,0.0,0.08
386,static,1.0,0.09
387,static,0.0,0.09
388,static,0.0,0.09
389,static,0.0,0.09
390,static,0.0,0.09
391,static,0.0,0.09
392,static,0.0,0.09
393,static,0.0,0.09
394,static,1.0,0.1
395,static,0.0,0.1
396,static,0.0,0.1
397,static,0.0,0.1
398,static,0.0,0.1
399,static,0.0,0.1
400,static,0.0,0.1
401,static,0.0,0.1
402,static,0.0,0.1
403,static,0.0,0.09
404,static,0.0,0.09
405,static,0.0,0.09
406,static,0.0,0.09
407,static,0.0,0.08
408,static,1.0,0.09
409,static,0.0,0.08
410,static,0.0,0.08
411,static,0.0,0.08
412,static,0.0,0.08
413,static,0.0,0.07
414,static,0.0,0.07
415,static,0.0,0.07
416,static,0.0,0.07
417,static,0.0,0.07
418,static,1.0,0.08
419,static,0.0,0.07
420,static,0.0,0.07
421,static,0.0,0.07
422,static,0.0,0.07
423,static,0.0,0.07
424,static,0.0,0.07
425,static,0.0,0.07
426,static,0.0,0.07
427,static,0.0,0.07
428,static,0.0,0.07
429,static,0.0,0.07
430,static,0.0,0.07
431,static,0.0,0.07
432,static,0.0,0.07
433,static,0.0,0.07
434,static,0.0,0.07
435,static,0.0,0.07
436,static,0.0,0.07
437,static,0.0,0.07
438,static,0.0,0.07
439,static,0.0,0.07
440,static,0.0,0.07
441,static,0.0,0.07
442,static,0.0,0.07
443,static,0.0,0.07
444,static,0.0,0.07
445,static,0.0,0.07
446,static,0.0,0.07
447,static,0.0,0.07
448,static,0.0,0.07
449,static,0.0,0.06
450,static,0.0,0.06
451,static,1.0,0.07
452,static,0.0,0.07
453,static,0.0,0.07
454,static,0.0,0.07
455,static,1.0,0.08
456,static,0.0,0.07
457,static,0.0,0.07
458,static,0.0,0.07
459,static,0.0,0.07
460,static,0.0,0.07
461,static,0.0,0.07
462,static,0.0,0.07
463,static,0.0,0.07
464,static,0.0,0.07
465,static,0.0,0.07
466,static,0.0,0.07
467,static,0.0,0.07
468,static,0.0,0.07
469,static,0.0,0.07
470,static,0.0,0.07
471,static,0.0,0.07
472,static,0.0,0.07
473,static,0.0,0.07
474,static,1.0,0.08
475,static,0.0,0.08
476,static,0.0,0.08
477,static,0.0,0.08
478,static,0.0,0.08
479,static,0.0,0.08
480,static,0.0,0.08
481,static,0.0,0.07
482,static,0.0,0.07
483,static,1.0,0.08
484,static,0.0,0.08
485,static,0.0,0.08
486,static,0.0,0.07
487,static,0.0,0.07
488,static,0.0,0.07
489,static,1.0,0.08
490,static,0.0,0.08
491,static,0.0,0.08
492,static,1.0,0.09
493,static,0.0,0.09
494,static,0.0,0.08
495,static,0.0,0.08
496,static,0.0,0.08
497,static,0.0,0.08
498,static,0.0,0.08
499,static,0.0,0.08
