episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
0,him_her,0,evasive,evasive,27,1,0,-3.124094009399414,1.0
1,him_her,0,evasive,evasive,22,1,0,-1.688632845878601,1.0
2,him_her,0,evasive,territorial,26,0,0,-1.4257352352142334,1.0
3,him_her,0,evasive,territorial,30,0,0,-3.7250988483428955,0.0
4,him_her,0,evasive,territorial,21,0,0,-1.3629727363586426,1.0
5,him_her,0,evasive,territorial,18,0,0,-4.724653720855713,1.0
6,him_her,0,evasive,evasive,29,1,0,-4.2989349365234375,1.0
7,him_her,0,evasive,territorial,22,0,0,-4.0696702003479,0.0
8,him_her,0,evasive,territorial,23,0,0,-1.606284499168396,1.0
9,him_her,0,evasive,territorial,31,0,0,-3.8216464519500732,0.0
10,him_her,0,evasive,evasive,25,1,0,-1.147080898284912,1.0
11,him_her,0,evasive,territorial,20,0,0,-4.3058624267578125,0.0
12,him_her,0,evasive,territorial,31,0,0,-3.944345235824585,0.0
13,him_her,0,evasive,territorial,18,0,0,-5.342508316040039,0.0
14,him_her,0,evasive,territorial,26,0,0,-3.052767515182495,0.0
15,him_her,0,evasive,territorial,17,0,0,-3.7557787895202637,0.0
16,him_her,0,evasive,territorial,33,0,0,-3.688814878463745,0.0
17,him_her,0,evasive,evasive,19,1,0,-1.103010654449463,1.0
18,him_her,0,evasive,territorial,17,0,0,-6.3552680015563965,0.0
19,him_her,0,evasive,territorial,20,0,0,-6.475434303283691,0.0
20,him_her,1,territorial,evasive,28,0,1,-3.864426851272583,1.0
21,him_her,1,territorial,territorial,16,1,0,-1.6013643741607666,0.0
22,him_her,1,territorial,territorial,25,1,1,-2.4233555793762207,1.0
23,him_her,1,territorial,territorial,29,1,0,-1.7565298080444336,0.0
24,him_her,0,evasive,territorial,20,0,1,-4.500723361968994,1.0
25,him_her,1,territorial,territorial,26,1,1,-6.418869972229004,0.0
26,him_her,1,territorial,territorial,24,1,0,-1.4808998107910156,0.0
27,him_her,1,territorial,territorial,18,1,0,-1.5583884716033936,0.0
28,him_her,1,territorial,territorial,20,1,0,-1.2022334337234497,0.0
29,him_her,1,territorial,territorial,25,1,0,-1.4304673671722412,0.0
