episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
0,him_her,0,evasive,territorial,17,0,0,-3.7149457931518555,0.0
1,him_her,0,evasive,territorial,16,0,0,-6.135153770446777,0.0
2,him_her,0,evasive,territorial,20,0,0,-3.9944119453430176,0.0
3,him_her,0,evasive,territorial,28,0,0,-5.044976711273193,0.0
4,him_her,0,evasive,territorial,29,0,0,-4.519682884216309,0.0
5,him_her,0,evasive,territorial,27,0,0,-6.1073150634765625,0.0
6,him_her,0,evasive,territorial,27,0,0,-4.042452812194824,1.0
7,him_her,0,evasive,territorial,23,0,0,-3.056912422180176,0.0
8,him_her,0,evasive,territorial,28,0,0,-3.8422482013702393,0.0
9,him_her,0,evasive,evasive,20,1,0,-3.8309834003448486,1.0
10,him_her,0,evasive,territorial,30,0,0,-3.6426448822021484,0.0
11,him_her,0,evasive,evasive,16,1,0,-5.8569793701171875,1.0
12,him_her,0,evasive,territorial,29,0,0,-5.925182342529297,0.0
13,him_her,0,evasive,territorial,16,0,0,-5.506460666656494,1.0
14,him_her,0,evasive,territorial,31,0,0,-5.575636863708496,0.0
15,him_her,0,evasive,territorial,28,0,0,-3.239785671234131,0.0
16,him_her,0,evasive,territorial,21,0,0,-5.081770420074463,1.0
17,him_her,0,evasive,territorial,32,0,0,-2.5969161987304688,0.0
18,him_her,0,evasive,evasive,32,1,0,-2.084587574005127,1.0
19,him_her,0,evasive,territorial,27,0,0,-4.724681377410889,0.0
20,him_her,1,territorial,territorial,33,1,1,-4.9830121994018555,0.0
21,him_her,1,territorial,territorial,32,1,1,-2.3040542602539062,0.0
22,him_her,1,territorial,evasive,21,0,1,-3.4564223289489746,1.0
23,him_her,1,territorial,territorial,33,1,0,-1.8751423358917236,0.0
24,him_her,1,territorial,territorial,29,1,0,-1.5995151996612549,0.0
25,him_her,1,territorial,territorial,29,1,1,-2.091715097427368,0.0
26,him_her,1,territorial,territorial,24,1,1,-3.7115368843078613,1.0
27,him_her,1,territorial,territorial,28,1,1,-2.469728946685791,1.0
28,him_her,1,territorial,territorial,21,1,0,-1.3820273876190186,0.0
29,him_her,1,territorial,territorial,21,1,0,-1.3818752765655518,0.0
30,him_her,1,territorial,evasive,16,0,1,-3.0382535457611084,1.0
31,him_her,1,territorial,evasive,29,0,0,-1.7768774032592773,1.0
32,him_her,1,territorial,territorial,20,1,0,-1.4623790979385376,0.0
33,him_her,1,territorial,territorial,31,1,1,-2.38480544090271,1.0
34,him_her,1,territorial,territorial,23,1,0,-1.3869092464447021,0.0
35,him_her,1,territorial,territorial,24,1,0,-1.357362151145935,0.0
36,him_her,1,territorial,evasive,25,0,0,-1.9424324035644531,1.0
37,him_her,1,territorial,territorial,17,1,0,-1.4789395332336426,0.0
38,him_her,1,territorial,territorial,22,1,0,-1.2369120121002197,0.0
39,him_her,1,territorial,evasive,29,0,0,-1.308689832687378,1.0
40,him_her,1,territorial,territorial,26,1,0,-1.368363618850708,0.0
41,him_her,1,territorial,territorial,19,1,0,-1.4070600271224976,0.0
42,him_her,0,evasive,evasive,22,1,1,-3.8030710220336914,1.0
43,him_her,0,evasive,evasive,27,1,0,-1.6915861368179321,1.0
44,him_her,1,territorial,territorial,32,1,1,-3.4919490814208984,0.0
45,him_her,0,evasive,evasive,25,1,1,-3.4563708305358887,1.0
46,him_her,0,evasive,evasive,21,1,0,-1.7404966354370117,1.0
47,him_her,1,territorial,territorial,30,1,1,-5.186037063598633,0.0
48,him_her,1,territorial,territorial,33,1,0,-1.6252983808517456,0.0
49,him_her,1,territorial,territorial,21,1,0,-1.305644154548645,0.0
50,him_her,1,territorial,territorial,31,1,0,-1.656592845916748,0.0
51,him_her,1,territorial,evasive,31,0,0,-0.2536717355251312,1.0
52,him_her,1,territorial,territorial,25,1,0,-1.3937045335769653,1.0
53,him_her,1,territorial,territorial,24,1,0,-1.449237585067749,0.0
54,him_her,1,territorial,territorial,32,1,0,-1.8439992666244507,0.0
55,him_her,1,territorial,territorial,20,1,0,-1.5368722677230835,0.0
56,him_her,0,evasive,territorial,18,0,1,-2.6962509155273438,1.0
57,him_her,1,territorial,territorial,27,1,1,-4.960267543792725,0.0
58,him_her,1,territorial,territorial,25,1,0,-1.1407057046890259,0.0
59,him_her,1,territorial,evasive,32,0,1,-3.17706561088562,1.0
60,him_her,1,territorial,territorial,27,1,1,-2.373528003692627,1.0
61,him_her,1,territorial,territorial,19,1,0,-1.4385658502578735,0.0
62,him_her,1,territorial,territorial,26,1,0,-1.4284676313400269,0.0
63,him_her,1,territorial,territorial,32,1,1,-3.033191442489624,0.0
64,him_her,1,territorial,evasive,32,0,1,-2.24405574798584,1.0
65,him_her,1,territorial,territorial,19,1,1,-2.5566227436065674,1.0
66,him_her,1,territorial,territorial,24,1,0,-1.2116278409957886,0.0
67,him_her,1,territorial,territorial,20,1,0,-1.2613494396209717,0.0
68,him_her,1,territorial,territorial,22,1,0,-1.3572825193405151,0.0
69,him_her,1,territorial,territorial,26,1,1,-2.010810375213623,1.0
70,him_her,1,territorial,territorial,28,1,0,-1.5854270458221436,0.0
71,him_her,1,territorial,evasive,24,0,0,-1.3516461849212646,1.0
72,him_her,1,territorial,evasive,25,0,0,-1.33174467086792,1.0
73,him_her,1,territorial,territorial,30,1,0,-1.9771437644958496,0.0
74,him_her,1,territorial,territorial,31,1,1,-2.3274152278900146,0.0
75,him_her,1,territorial,territorial,20,1,0,-1.400133490562439,0.0
76,him_her,1,territorial,territorial,28,1,0,-1.6477935314178467,0.0
77,him_her,1,territorial,territorial,30,1,0,-1.6339257955551147,0.0
78,him_her,1,territorial,territorial,27,1,0,-1.4718701839447021,0.0
79,him_her,1,territorial,evasive,31,0,0,-1.884818196296692,1.0
80,him_her,1,territorial,territorial,29,1,0,-1.4379247426986694,0.0
81,him_her,1,territorial,evasive,28,0,0,-1.6156306266784668,1.0
82,him_her,1,territorial,territorial,19,1,1,-2.0287909507751465,1.0
83,him_her,1,territorial,territorial,23,1,0,-1.4225764274597168,0.0
84,him_her,1,territorial,territorial,24,1,1,-2.03353214263916,1.0
85,him_her,1,territorial,territorial,18,1,0,-1.3888437747955322,0.0
86,him_her,1,territorial,evasive,21,0,0,-0.8081463575363159,1.0
87,him_her,1,territorial,territorial,28,1,0,-1.561190128326416,0.0
88,him_her,0,evasive,territorial,21,0,1,-3.3852076530456543,1.0
89,him_her,1,territorial,territorial,27,1,1,-6.40676212310791,0.0
90,him_her,1,territorial,evasive,31,0,0,-0.5866395831108093,1.0
91,him_her,1,territorial,evasive,19,0,1,-4.200244903564453,1.0
92,him_her,1,territorial,evasive,32,0,0,-1.9776819944381714,1.0
93,him_her,1,territorial,territorial,25,1,0,-1.4033088684082031,0.0
94,him_her,1,territorial,evasive,22,0,0,-1.7899450063705444,1.0
95,him_her,1,territorial,evasive,31,0,0,-0.6437349319458008,1.0
96,him_her,1,territorial,territorial,16,1,0,-1.5692304372787476,0.0
97,him_her,1,territorial,territorial,26,1,0,-1.9001764059066772,1.0
98,him_her,1,territorial,territorial,27,1,0,-1.4709703922271729,0.0
99,him_her,1,territorial,territorial,26,1,0,-1.4727284908294678,0.0
100,him_her,0,evasive,territorial,22,0,1,-7.125697612762451,1.0
101,him_her,1,territorial,territorial,30,1,1,-8.225875854492188,0.0
