episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
0,him_her,0,evasive,evasive,33,1,0,-4.025625228881836,1.0
1,him_her,0,evasive,territorial,16,0,0,-4.775712013244629,0.0
2,him_her,0,evasive,evasive,22,1,0,-2.144376754760742,1.0
3,him_her,0,evasive,territorial,23,0,0,-3.4512083530426025,0.0
4,him_her,0,evasive,territorial,28,0,0,-6.8774237632751465,0.0
5,him_her,0,evasive,evasive,21,1,0,-2.081944465637207,1.0
6,him_her,0,evasive,territorial,22,0,0,-3.939797878265381,1.0
7,him_her,0,evasive,territorial,19,0,0,-1.540104627609253,1.0
8,him_her,0,evasive,evasive,28,1,0,-2.1817145347595215,1.0
9,him_her,0,evasive,territorial,28,0,0,-4.789546489715576,1.0
10,him_her,0,evasive,territorial,19,0,0,-5.691361427307129,0.0
11,him_her,0,evasive,territorial,33,0,0,-5.2756028175354,0.0
12,him_her,0,evasive,territorial,25,0,0,-2.0645763874053955,0.0
13,him_her,0,evasive,territorial,22,0,0,-2.999260663986206,1.0
14,him_her,0,evasive,territorial,32,0,0,-4.075032711029053,0.0
15,him_her,0,evasive,evasive,17,1,0,-17.803714752197266,1.0
16,him_her,0,evasive,territorial,33,0,0,-3.9701333045959473,0.0
17,him_her,0,evasive,territorial,18,0,0,-6.21458101272583,0.0
18,him_her,0,evasive,territorial,21,0,0,-4.508997440338135,0.0
19,him_her,0,evasive,evasive,27,1,0,-4.491292476654053,1.0
20,him_her,1,territorial,territorial,21,1,1,-5.495918273925781,0.0
21,him_her,0,evasive,territorial,25,0,1,-3.7101120948791504,1.0
22,him_her,1,territorial,territorial,27,1,1,-4.879243850708008,0.0
23,him_her,1,territorial,territorial,21,1,0,-1.5151435136795044,0.0
24,him_her,1,territorial,territorial,27,1,0,-1.509708046913147,0.0
25,him_her,1,territorial,evasive,31,0,0,-1.6289868354797363,1.0
26,him_her,1,territorial,territorial,17,1,0,-1.3590153455734253,0.0
27,him_her,1,territorial,territorial,19,1,0,-1.3349437713623047,0.0
28,him_her,1,territorial,evasive,29,0,0,-1.448720932006836,1.0
29,him_her,1,territorial,evasive,21,0,1,-3.1553573608398438,1.0
30,him_her,1,territorial,evasive,24,0,1,-2.795560598373413,1.0
31,him_her,1,territorial,territorial,28,1,0,-1.5316892862319946,0.0
32,him_her,1,territorial,territorial,33,1,0,-1.9750134944915771,0.0
33,him_her,1,territorial,evasive,18,0,1,-2.1591100692749023,1.0
34,him_her,1,territorial,territorial,30,1,0,-1.1645662784576416,0.0
35,him_her,1,territorial,evasive,25,0,1,-2.5847506523132324,1.0
36,him_her,1,territorial,territorial,29,1,0,-1.5500961542129517,0.0
37,him_her,1,territorial,territorial,33,1,1,-2.7607262134552,0.0
38,him_her,1,territorial,territorial,29,1,0,-1.7041712999343872,0.0
39,him_her,1,territorial,territorial,31,1,0,-1.7307990789413452,0.0
40,him_her,1,territorial,evasive,16,0,0,-1.2569999694824219,1.0
41,him_her,1,territorial,territorial,19,1,0,-1.5147775411605835,1.0
42,him_her,1,territorial,territorial,24,1,0,-1.3581582307815552,0.0
43,him_her,1,territorial,territorial,22,1,0,-1.5458683967590332,0.0
44,him_her,1,territorial,territorial,28,1,0,-1.564475417137146,0.0
45,him_her,1,territorial,territorial,29,1,0,-1.723717451095581,0.0
46,him_her,1,territorial,territorial,19,1,0,-1.466604471206665,0.0
47,him_her,1,territorial,territorial,21,1,0,-1.3841980695724487,0.0
48,him_her,1,territorial,territorial,25,1,0,-1.4385203123092651,0.0
49,him_her,1,territorial,evasive,29,0,1,-2.112297534942627,1.0
50,him_her,1,territorial,territorial,27,1,0,-1.5363552570343018,0.0
51,him_her,0,evasive,evasive,26,1,1,-2.8315818309783936,1.0
52,him_her,1,territorial,territorial,16,1,1,-7.365034580230713,0.0
53,him_her,1,territorial,territorial,25,1,0,-1.2450006008148193,0.0
54,him_her,0,evasive,evasive,30,1,1,-7.195364952087402,1.0
55,him_her,1,territorial,territorial,19,1,1,-5.677328586578369,0.0
56,him_her,1,territorial,territorial,21,1,0,-1.38178551197052,0.0
57,him_her,1,territorial,territorial,23,1,0,-1.5518379211425781,0.0
58,him_her,1,territorial,territorial,24,1,0,-1.2468568086624146,0.0
59,him_her,1,territorial,territorial,17,1,0,-1.533742904663086,0.0
60,him_her,1,territorial,territorial,33,1,0,-1.4266070127487183,0.0
61,him_her,1,territorial,territorial,28,1,0,-1.4724935293197632,0.0
62,him_her,1,territorial,territorial,25,1,0,-1.5147029161453247,0.0
63,him_her,1,territorial,territorial,26,1,0,-1.6059455871582031,1.0
64,him_her,1,territorial,territorial,21,1,0,-1.5458967685699463,0.0
65,him_her,1,territorial,territorial,22,1,1,-2.151162624359131,1.0
66,him_her,1,territorial,territorial,33,1,0,-1.655093789100647,0.0
67,him_her,1,territorial,territorial,31,1,0,-1.8110336065292358,0.0
68,him_her,1,territorial,evasive,16,0,1,-2.492523670196533,1.0
69,him_her,1,territorial,evasive,27,0,1,-2.7121126651763916,1.0
70,him_her,1,territorial,territorial,23,1,0,-1.2885618209838867,0.0
71,him_her,1,territorial,territorial,25,1,0,-1.4624743461608887,1.0
72,him_her,1,territorial,territorial,28,1,0,-1.6418685913085938,0.0
73,him_her,1,territorial,territorial,28,1,0,-1.604296326637268,0.0
74,him_her,1,territorial,territorial,18,1,0,-1.6005977392196655,1.0
75,him_her,1,territorial,territorial,18,1,0,-1.4753873348236084,0.0
76,him_her,1,territorial,territorial,21,1,0,-1.3759552240371704,0.0
77,him_her,1,territorial,territorial,25,1,0,-1.2125158309936523,0.0
78,him_her,1,territorial,territorial,28,1,1,-2.24574613571167,1.0
79,him_her,1,territorial,evasive,18,0,0,-1.8014363050460815,1.0
80,him_her,1,territorial,territorial,27,1,0,-1.625431776046753,0.0
81,him_her,1,territorial,territorial,33,1,1,-2.100339651107788,0.0
82,him_her,1,territorial,territorial,21,1,0,-1.6473140716552734,0.0
83,him_her,1,territorial,territorial,28,1,0,-1.5057673454284668,0.0
84,him_her,1,territorial,territorial,20,1,0,-1.5230053663253784,1.0
85,him_her,0,evasive,evasive,30,1,1,-3.034449577331543,1.0
86,him_her,0,evasive,evasive,32,1,1,-2.074190378189087,1.0
87,him_her,1,territorial,territorial,22,1,1,-4.502368927001953,0.0
88,him_her,1,territorial,territorial,18,1,1,-2.1912388801574707,1.0
89,him_her,1,territorial,territorial,21,1,0,-1.4508237838745117,0.0
90,him_her,1,territorial,territorial,18,1,0,-1.3641440868377686,0.0
91,him_her,1,territorial,territorial,23,1,0,-1.2868881225585938,0.0
92,him_her,0,evasive,territorial,22,0,1,-5.191458702087402,1.0
93,him_her,1,territorial,territorial,22,1,1,-6.966318130493164,0.0
94,him_her,1,territorial,territorial,19,1,0,-1.3899394273757935,0.0
95,him_her,1,territorial,territorial,31,1,0,-1.780750036239624,0.0
96,him_her,1,territorial,territorial,23,1,0,-1.492857813835144,0.0
97,him_her,1,territorial,evasive,23,0,1,-2.0436007976531982,1.0
98,him_her,1,territorial,territorial,28,1,0,-1.5459439754486084,0.0
99,him_her,1,territorial,territorial,21,1,1,-2.914010763168335,1.0
100,him_her,0,evasive,evasive,20,1,1,-4.359638690948486,1.0
101,him_her,1,territorial,territorial,20,1,1,-7.383948802947998,1.0
102,him_her,1,territorial,territorial,18,1,0,-1.5451412200927734,0.0
103,him_her,1,territorial,territorial,19,1,0,-1.4183316230773926,0.0
104,him_her,1,territorial,territorial,33,1,1,-2.324018955230713,1.0
105,him_her,1,territorial,territorial,29,1,0,-1.6687194108963013,0.0
106,him_her,1,territorial,territorial,30,1,1,-2.3627641201019287,1.0
107,him_her,1,territorial,territorial,27,1,0,-1.51655113697052,0.0
108,him_her,1,territorial,territorial,25,1,0,-1.4133726358413696,0.0
109,him_her,1,territorial,evasive,25,0,0,-1.7508944272994995,1.0
110,him_her,1,territorial,evasive,26,0,1,-2.5922884941101074,1.0
111,him_her,0,evasive,territorial,25,0,1,-3.6976399421691895,1.0
112,him_her,1,territorial,territorial,29,1,1,-4.056878566741943,1.0
113,him_her,0,evasive,territorial,33,0,1,-3.015342950820923,0.0
114,him_her,1,territorial,territorial,28,1,1,-3.2184066772460938,0.0
115,him_her,1,territorial,evasive,21,0,0,-1.1450139284133911,1.0
116,him_her,1,territorial,territorial,19,1,0,-1.5994720458984375,0.0
117,him_her,1,territorial,territorial,33,1,1,-2.8277812004089355,0.0
118,him_her,1,territorial,territorial,19,1,0,-1.579014539718628,0.0
119,him_her,1,territorial,territorial,26,1,0,-1.2986128330230713,0.0
120,him_her,1,territorial,territorial,25,1,0,-1.3108378648757935,0.0
121,him_her,1,territorial,evasive,24,0,0,-1.1978330612182617,1.0
122,him_her,1,territorial,evasive,21,0,1,-2.6801230907440186,1.0
123,him_her,1,territorial,territorial,32,1,0,-1.8161427974700928,0.0
124,him_her,0,evasive,evasive,19,1,1,-2.092782497406006,1.0
125,him_her,1,territorial,territorial,33,1,1,-4.2682671546936035,0.0
126,him_her,0,evasive,territorial,33,0,1,-2.7939364910125732,0.0
127,him_her,1,territorial,territorial,25,1,1,-3.2751543521881104,0.0
128,him_her,1,territorial,evasive,22,0,1,-3.2007944583892822,1.0
129,him_her,1,territorial,territorial,31,1,0,-1.4678624868392944,0.0
130,him_her,1,territorial,territorial,27,1,1,-2.2995803356170654,1.0
131,him_her,0,evasive,evasive,30,1,1,-3.7616748809814453,1.0
132,him_her,1,territorial,territorial,28,1,1,-4.682529926300049,0.0
133,him_her,0,evasive,evasive,33,1,1,-3.0794196128845215,1.0
134,him_her,1,territorial,territorial,30,1,1,-5.027641773223877,0.0
135,him_her,1,territorial,territorial,18,1,0,-1.8227564096450806,1.0
136,him_her,1,territorial,territorial,25,1,0,-1.4631677865982056,0.0
137,him_her,1,territorial,evasive,30,0,1,-2.3771867752075195,1.0
138,him_her,1,territorial,evasive,28,0,0,-1.9613150358200073,1.0
139,him_her,0,evasive,territorial,20,0,1,-4.170810699462891,1.0
140,him_her,1,territorial,territorial,17,1,1,-6.959470272064209,1.0
141,him_her,1,territorial,territorial,28,1,0,-1.609429121017456,0.0
142,him_her,1,territorial,territorial,21,1,1,-2.530552387237549,1.0
143,him_her,1,territorial,evasive,20,0,0,-0.971002459526062,1.0
144,him_her,1,territorial,territorial,30,1,0,-1.8027307987213135,0.0
145,him_her,1,territorial,territorial,26,1,0,-1.5796163082122803,0.0
146,him_her,1,territorial,evasive,27,0,0,-1.9812333583831787,1.0
147,him_her,1,territorial,territorial,24,1,0,-1.343841791152954,0.0
148,him_her,1,territorial,evasive,28,0,0,-1.1057438850402832,1.0
