episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
0,him_her,0,evasive,territorial,28,0,0,-3.5892553329467773,0.0
1,him_her,0,evasive,territorial,21,0,0,-4.6838603019714355,1.0
2,him_her,0,evasive,territorial,20,0,0,-2.672758102416992,1.0
3,him_her,0,evasive,evasive,21,1,0,-2.318190336227417,1.0
4,him_her,0,evasive,territorial,29,0,0,-6.106260299682617,0.0
5,him_her,0,evasive,territorial,26,0,0,-6.974823951721191,0.0
6,him_her,0,evasive,evasive,22,1,0,-1.7440146207809448,1.0
7,him_her,0,evasive,evasive,30,1,0,-4.800711154937744,1.0
8,him_her,0,evasive,territorial,16,0,0,-4.121309757232666,0.0
9,him_her,0,evasive,evasive,28,1,0,-1.478224754333496,1.0
10,him_her,0,evasive,evasive,29,1,0,-3.736279249191284,1.0
11,him_her,0,evasive,territorial,21,0,0,-4.130928039550781,0.0
12,him_her,0,evasive,territorial,25,0,0,-5.739078998565674,0.0
13,him_her,0,evasive,territorial,28,0,0,-3.3110949993133545,0.0
14,him_her,0,evasive,territorial,30,0,0,-4.315319538116455,0.0
15,him_her,0,evasive,territorial,24,0,0,-3.8565914630889893,0.0
16,him_her,0,evasive,territorial,25,0,0,-1.8836065530776978,1.0
17,him_her,0,evasive,territorial,20,0,0,-6.051145076751709,1.0
18,him_her,0,evasive,territorial,19,0,0,-5.323946952819824,0.0
19,him_her,0,evasive,territorial,22,0,0,-3.8466339111328125,0.0
20,him_her,1,territorial,territorial,25,1,1,-5.0908203125,0.0
21,him_her,1,territorial,evasive,17,0,1,-2.5281875133514404,1.0
22,him_her,1,territorial,territorial,29,1,0,-1.6669929027557373,0.0
23,him_her,1,territorial,territorial,30,1,0,-1.6101038455963135,0.0
24,him_her,1,territorial,territorial,20,1,0,-1.4626407623291016,0.0
25,him_her,0,evasive,territorial,27,0,1,-4.556743144989014,1.0
26,him_her,1,territorial,territorial,23,1,1,-5.282829284667969,1.0
27,him_her,1,territorial,evasive,19,0,1,-3.2163937091827393,1.0
28,him_her,1,territorial,territorial,25,1,0,-1.8070919513702393,1.0
29,him_her,0,evasive,territorial,21,0,1,-4.825516700744629,1.0
30,him_her,1,territorial,territorial,21,1,1,-4.628254413604736,1.0
31,him_her,1,territorial,territorial,32,1,0,-1.5816065073013306,0.0
32,him_her,0,evasive,evasive,19,1,1,-7.709031105041504,1.0
33,him_her,1,territorial,territorial,19,1,1,-3.469238758087158,1.0
34,him_her,1,territorial,territorial,26,1,0,-1.3939601182937622,0.0
35,him_her,1,territorial,territorial,32,1,1,-2.0007925033569336,0.0
